duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003571,2,559.597,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,55,0,1,0,0,0,0
5.03389,7001,1390.77,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7000,0,0,0,0,0,0,11,61,3499,1,0,0,0,0
10.0581,14501,1441.72,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14500,0,0,0,0,0,0,11,61,7249,1,0,0,0,0
15.0002,21874,1458.25,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21500,0,0,0,0,0,0,11,61,10936,1,0,0,0,0
20.2096,29001,1435.01,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,5376,0,6151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29000,0,0,0,0,0,0,11,61,14499,1,0,0,0,0
25.0509,36001,1437.11,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,5376,0,6151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36000,0,0,0,0,0,0,11,61,17999,1,0,0,0,0
30.0001,43443,1448.09,0,7,1,2,1,768,0,767,0,765,0,96,0,95,0,93,0,5376,0,6151,0,4018,0,260,0,1296,0,0,0,0,0,0,0,0,2,43000,0,0,0,0,0,0,11,61,21720,1,0,0,0,0
35.0574,50501,1440.52,0,9,1,2,1,1536,0,767,0,765,0,96,0,95,0,93,0,5376,0,6151,0,4018,0,260,0,1296,0,2046,0,2,1,2552,0,16,2,50535,0,0,0,0,0,0,12,66,25241,0,0,0,0,0
40.0612,58001,1447.81,0,9,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,6151,0,4018,0,260,0,1296,0,2046,0,2,1,2552,0,16,2,58035,0,0,0,0,0,0,12,66,28991,0,0,0,0,0
45.0001,65489,1455.31,0,9,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2046,0,2,1,2552,0,16,2,65035,0,0,0,0,0,0,12,66,32735,0,0,0,0,0
