duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.00562,2,355.745,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,25,0,1,0,0,0,0
5.00019,25184,5036.61,0,8,1,2,1,2560,1,2558,0,2554,0,320,0,113,0,115,0,3584,0,4276,0,3468,0,160,0,742,0,1198,0,4,0,2616,0,16,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
10.0003,49733,4973.16,12,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,2084,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
15.0002,67948,4529.8,36,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,20299,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
20.0002,83419,4170.91,53,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,35770,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
25.0004,97135,3885.34,71,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,49486,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
30.0004,111783,3726.05,90,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,64134,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
35.0004,125543,3586.9,108,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,77894,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
40.0001,140248,3506.19,128,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,92592,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
45.0002,156022,3467.14,148,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,108373,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
50.0004,172160,3443.17,168,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,124511,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
55.0001,186921,3398.56,186,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,139272,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
60.0003,201484,3358.05,202,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,153835,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
65.0003,216189,3325.97,221,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,168540,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
70.0006,231274,3303.89,237,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,183625,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
75.0005,245986,3279.79,257,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,198337,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
80.0003,260046,3250.56,275,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,212397,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
85.0004,274040,3223.98,293,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,226391,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
90.0005,287263,3191.79,310,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,239614,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
95.0002,302154,3180.56,327,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,254505,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
100,316343,3163.43,345,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,268694,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
105.001,330546,3148.04,363,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,282897,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
110,344484,3131.67,378,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,296835,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
115,357763,3110.97,396,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,310114,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
120,372229,3101.9,414,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,324580,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
120.005,372229,3101.77,414,8,1,2,1,3840,1,3837,0,3831,0,480,0,145,0,147,0,8064,0,9428,0,6732,0,384,0,1926,0,3054,0,12,0,5768,0,324580,2,0,0,0,0,0,0,0,10,41,0,1,0,0,0,0
