duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004526,2,441.696,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,42,0,2,0,0,0,0
5.00471,27001,5395.11,0,6,1,2,1,3072,0,2046,0,2042,0,256,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,6,0,2192,1,32,2,0,0,0,0,0,0,0,8,57,1028,0,0,0,0,0
10.0003,45328,4532.67,1,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,64,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
15.0008,63448,4229.64,189,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,18176,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
20.0003,80919,4045.88,371,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,35648,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
25.0002,96560,3862.37,534,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,51296,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
30.0008,115501,3849.93,732,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,70240,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
35.0011,131511,3757.34,898,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,86240,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
40.0002,149760,3743.99,1089,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,104496,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
45.0003,168080,3735.09,1279,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,122816,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
50.0003,186329,3726.56,1469,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,141056,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
55.0003,204956,3726.45,1664,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,159696,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
60.0005,223251,3720.82,1854,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,177984,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
65.0001,241851,3720.78,2048,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,196592,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
70.0002,259754,3710.76,2234,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,214496,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
75.0001,277912,3705.49,2423,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,232640,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
80.0002,296181,3702.25,2614,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,250912,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
85.0002,315620,3713.17,2816,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,270352,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
90.0073,333001,3699.71,2997,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,287728,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
95.0003,350419,3688.61,3179,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,305152,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
100,367234,3672.33,3354,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,321968,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
105.001,384188,3658.91,3531,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,338928,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
110,398395,3621.77,3679,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,353136,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
115,416284,3619.86,3865,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,371024,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
120,433896,3615.79,4048,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,388624,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
120.007,433896,3615.6,4048,6,1,2,1,3072,0,3069,0,3063,0,384,0,112,0,112,0,6267,0,6878,0,4180,0,326,0,1691,0,2848,0,10,0,3071,1,388624,2,0,0,0,0,0,0,0,8,57,10173,0,0,0,0,0
