duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003671,2,544.662,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0
5.002,2600,519.791,0,2,0,0,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,452
10.0055,3719,371.696,0,2,0,0,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,512
15.0028,4515,300.944,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,832
20.0047,5329,266.387,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,875
25.0004,6017,240.676,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,1728
30.0016,6826,227.521,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,1728
35.0048,7553,215.771,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,2431
40.0008,8305,207.621,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,2931
45.0011,8996,199.906,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,3431
50.0017,9732,194.634,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,3936
55.0913,10501,190.611,0,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,4192
60.0057,11190,186.482,12,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,192,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,4444
65.0067,11652,179.243,41,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,656,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,4864
70.0095,12008,171.52,63,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,1008,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,5287
75.0027,12335,164.461,83,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,1328,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,5287
80.0004,12580,157.249,99,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,1584,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,5725
85.0059,12824,150.86,114,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,1824,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,5725
90.0012,13055,145.054,128,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,2048,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6170
95.0039,13292,139.91,143,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,2288,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6170
100.01,13501,134.997,156,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,2496,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6584
105.005,13698,130.451,169,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,2704,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6584
110.019,13883,126.188,180,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,2880,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6584
115.011,14054,122.197,191,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,3056,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6997
120.009,14235,118.616,202,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,3232,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,6997
120.149,14235,118.478,202,2,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,528,0,3232,1,0,0,0,0,0,0,0,3,50,0,0,0,0,0,7188
