duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003429,2,582.92,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,0
5.06627,13001,2566.19,159,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,2544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,6859
10.0222,20501,2045.56,628,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,10048,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,13652
15.0001,28020,1867.98,1098,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,17568,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,20436
20.1593,36001,1785.83,1597,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,25552,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,27786
25.2221,43501,1724.72,2065,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,33040,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,34535
30.2155,50501,1671.36,2503,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,40048,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,40910
35.0001,57807,1651.62,2959,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,47344,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,47271
40.0002,65224,1630.59,3423,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,54768,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,54023
45.1589,72501,1605.46,3878,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,62048,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,60908
50.0002,80472,1609.43,4376,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,70016,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,67678
55.2156,87501,1584.71,4815,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,77040,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,74439
60.1002,95001,1580.71,5284,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,84544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,81173
65.0002,102678,1579.66,5764,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,92224,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,88016
70.3452,110001,1563.73,6222,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,99552,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,94840
75.0434,117001,1559.11,6659,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,106544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,101128
80.0001,124992,1562.4,7158,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,114528,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,107929
85.0496,132501,1557.93,7628,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,122048,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,115179
90.1695,140501,1558.19,8128,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,130048,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,122333
95.1235,149001,1566.39,8659,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,138544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,130032
100.189,157001,1567.04,9159,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,146544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,137303
105.046,163001,1551.71,9534,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,152544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,142745
110.008,169001,1536.27,9909,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,158544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,148185
115.2,175501,1523.44,10315,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,165040,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,154090
120.054,181500,1511.82,10690,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,171040,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,159538
