duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003626,2,551.268,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,41,0,0,0,0,0,0
5.07048,18501,3648.77,505,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,8080,1,0,0,0,0,0,0,0,5,41,0,0,0,0,3793,0
10.0856,29001,2875.47,1161,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,18576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,8628,0
15.0762,38001,2520.6,1724,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,27584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,12817,0
20.0793,48001,2390.57,2349,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,37584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,17376,0
25.0706,61001,2433.17,3161,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,50576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,23242,0
30.0002,72971,2432.35,3909,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,62544,1,0,0,0,0,0,0,0,5,41,0,0,0,0,28660,0
35.0098,84001,2399.36,4599,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,73584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,33934,0
40.0171,95001,2374.01,5286,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,84576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,38870,0
45.0233,105501,2343.25,5942,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,95072,1,0,0,0,0,0,0,0,5,41,0,0,0,0,43708,0
50.1041,116501,2325.18,6630,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,106080,1,0,0,0,0,0,0,0,5,41,0,0,0,0,48852,0
55.0895,127501,2314.43,7317,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,117072,1,0,0,0,0,0,0,0,5,41,0,0,0,0,54011,0
60.1047,138501,2304.33,8005,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,128080,1,0,0,0,0,0,0,0,5,41,0,0,0,0,59154,0
65.0001,149178,2295.04,8672,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,138752,1,0,0,0,0,0,0,0,5,41,0,0,0,0,63822,0
70.0641,160001,2283.64,9349,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,149584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,68901,0
75.0069,170501,2273.14,10005,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,160080,1,0,0,0,0,0,0,0,5,41,0,0,0,0,73662,0
80.0668,181001,2260.63,10661,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,170576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,78434,0
85.0001,192004,2258.87,11349,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,181584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,83505,0
90.0003,203030,2255.88,12038,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,192608,1,0,0,0,0,0,0,0,5,41,0,0,0,0,88559,0
95.091,214501,2255.74,12755,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,204080,1,0,0,0,0,0,0,0,5,41,0,0,0,0,93831,0
100.083,225501,2253.15,13442,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,215072,1,0,0,0,0,0,0,0,5,41,0,0,0,0,98848,0
105,236146,2249.01,14108,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,225728,1,0,0,0,0,0,0,0,5,41,0,0,0,0,103839,0
110.128,247001,2242.86,14786,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,236576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,108957,0
115.106,258001,2241.43,15474,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,247584,1,0,0,0,0,0,0,0,5,41,0,0,0,0,113991,0
120.12,269000,2239.43,16161,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,752,0,258576,1,0,0,0,0,0,0,0,5,41,0,0,0,0,119148,0
