duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004327,2,462,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,50,0,1,0,0,0,0
5.02444,15001,2985.61,0,5,0,0,1,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,55,7499,0,0,0,0,3230
10.1826,31001,3044.5,0,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,944,0,16,2,0,0,0,0,0,0,0,10,55,15491,0,0,0,0,6204
15.0698,43001,2853.46,19,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,608,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,9513
20.0003,53463,2673.11,346,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,11072,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,13441
25.1199,63001,2508.02,644,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,20608,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,17520
30.1257,72501,2406.61,941,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,30112,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,21281
35.0714,83001,2366.63,1269,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,40608,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,25440
40.0006,93984,2349.56,1612,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,51600,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,29461
45.0554,104001,2308.29,1925,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,61616,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,33640
50.0002,114324,2286.47,2248,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,71936,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,37574
55.0589,124501,2261.23,2566,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,82112,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,41722
60.0002,135430,2257.16,2907,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,93040,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,45828
65.0001,144850,2228.46,3202,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,102464,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,49498
70.0001,155242,2217.74,3527,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,112864,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,53729
75.0556,165001,2198.38,3831,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,122608,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,57664
80.0003,175282,2191.02,4153,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,132896,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,61583
85.1264,185501,2179.12,4472,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,143120,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,65682
90.0471,196001,2176.65,4800,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,153616,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,69829
95.0004,207671,2186,5165,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,165280,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,74307
100.089,219501,2193.05,5535,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,177120,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,79016
105,230652,2196.68,5883,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,188272,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,83323
110,242292,2202.65,6247,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,199904,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,87804
115,254345,2211.69,6623,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,211952,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,92492
120,264748,2206.23,6949,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,222368,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,96664
120.077,264748,2204.81,6949,5,0,0,1,2048,0,2046,0,2042,0,256,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,6,0,1888,0,222368,2,0,0,0,0,0,0,0,10,55,21188,0,0,0,0,96758
