duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003323,2,601.504,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
5.13959,15501,3016,0,4,0,0,0,2048,0,2046,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,1,16,2,0,0,0,0,0,0,0,7,50,2502,0,0,0,0,5007
10.0875,22001,2181.01,0,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,1,16,2,0,0,0,0,0,0,0,7,50,5752,0,0,0,0,11507
15.0421,28501,1894.75,0,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,848,0,3,0,816,1,16,2,0,0,0,0,0,0,0,7,50,9002,0,0,0,0,18007
20.1287,37001,1838.22,103,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,6592,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,23634
25.0002,46824,1872.94,257,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,16416,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,29076
30.0102,55501,1849.4,392,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,25088,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,34354
35.1446,64501,1835.3,533,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,34096,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,39535
40.0677,73001,1821.94,666,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,42592,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,44339
45.1136,82001,1817.66,806,4,0,0,0,2048,0,2046,0,2042,0,256,0,64,0,64,0,3578,0,3655,0,1850,0,210,0,1081,0,1908,0,7,0,1632,1,51584,2,0,0,0,0,0,0,0,7,50,9962,0,0,0,0,49452
