duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003305,2,604.778,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
5.00025,34792,6958.04,225,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,24248,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
10.0002,65978,6597.66,504,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,55434,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
15.0001,97876,6525,789,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,87332,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
20.0001,130878,6543.85,1083,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,120334,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
25.0002,166276,6651,1399,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,155732,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
30.0001,198066,6602.18,1683,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,187522,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
35.0002,229048,6544.2,1960,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,218504,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
40.0002,260616,6515.36,2242,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,250072,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
45.0003,291201,6471.09,2515,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,280657,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
50.0001,323941,6478.8,2807,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,313397,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
55.0001,355737,6467.93,3091,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,345193,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
60.0002,387958,6465.94,3379,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,377414,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
65.0002,420028,6461.95,3665,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,409484,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
70.0002,452327,6461.8,3953,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,441783,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
75.0001,483412,6445.48,4231,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,472868,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
80.0002,515744,6446.79,4520,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,505200,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
85.0002,548866,6457.23,4815,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,538322,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
90.0038,582501,6471.96,5116,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,571957,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
95.0002,616236,6486.68,5417,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,605692,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
100,650161,6501.59,5720,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,639617,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
105,681393,6489.44,5999,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,670849,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
110,716630,6514.81,6313,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,706086,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
115,751955,6538.73,6629,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,741411,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
120,787112,6559.26,6943,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,776568,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
120.002,787112,6559.18,6943,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,880,0,776568,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
