duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003269,2,611.434,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,33,0,0,0,0,0,0
5.00012,31816,6363.04,1335,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,21360,1,0,0,0,0,0,0,0,4,33,0,0,0,0,1370,0
10.0515,60501,6019.1,3128,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,50048,1,0,0,0,0,0,0,0,4,33,0,0,0,0,3164,0
15.0002,87304,5820.19,4803,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,76848,1,0,0,0,0,0,0,0,4,33,0,0,0,0,4868,0
20.0133,116001,5796.2,6597,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,105552,1,0,0,0,0,0,0,0,4,33,0,0,0,0,6612,0
25.0002,142331,5693.19,8242,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,131872,1,0,0,0,0,0,0,0,4,33,0,0,0,0,8203,0
30.0001,167274,5575.78,9801,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,156816,1,0,0,0,0,0,0,0,4,33,0,0,0,0,9766,0
35.0002,194069,5544.8,11476,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,183616,1,0,0,0,0,0,0,0,4,33,0,0,0,0,11605,0
40.0002,221760,5543.97,13206,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,211296,1,0,0,0,0,0,0,0,4,33,0,0,0,0,13408,0
45.0002,247737,5505.24,14830,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,784,0,237280,1,0,0,0,0,0,0,0,4,33,0,0,0,0,15129,0
