duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005787,2,345.423,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0
5.00016,31446,6289,17,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,6451,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
10.005,58001,5797.21,45,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,33006,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
15.0001,86867,5791.09,73,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,61872,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
20.0001,115167,5758.31,91,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,90172,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
25.0001,143801,5752.02,116,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,118806,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
30.0001,171451,5715.01,140,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,146456,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
35.0002,200010,5714.54,163,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,175015,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
40.0002,227649,5691.2,186,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,202654,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
45.0001,254989,5666.4,211,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,229994,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
50.0001,282427,5648.53,233,1,1,1,0,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1232,0,257432,1,0,0,0,0,0,0,0,1,4,12497,1,0,0,0,0
