duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002583,2,773.694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
5.00011,101082,20215.9,5728,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,91648,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
10.0001,205466,20546.4,12252,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,196032,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
15.0001,302880,20191.8,18341,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,293456,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
20.0001,397108,19855.3,24230,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,387680,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
25.0001,487709,19508.3,29892,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,478272,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
30.0002,583373,19445.7,35871,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,573936,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
35.0001,679894,19425.5,41904,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,670464,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
40.0001,771750,19293.7,47645,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,762320,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
45.0001,868477,19299.4,53690,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,859040,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
50.0001,957574,19151.4,59259,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,948144,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
55.0001,1056954,19217.3,65470,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1047520,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
60.0001,1155100,19251.6,71604,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1145664,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
65.0001,1245122,19155.7,77231,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1235696,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
70.0001,1349259,19275.1,83739,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1339824,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
75.0001,1447669,19302.2,89890,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1438240,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
80.0001,1547781,19347.2,96147,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1538352,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
85.0001,1644278,19344.4,102178,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1634848,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
90.0001,1743260,19369.5,108364,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1733824,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
95.0001,1842616,19395.9,114574,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1833184,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
100,1936165,19361.6,120421,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,1926736,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
105,2033796,19369.5,126523,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,2024368,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
110,2131887,19380.8,132653,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,2122448,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
115,2231647,19405.6,138888,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,2222208,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
120,2322813,19356.8,144586,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,2313376,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
120.002,2322813,19356.5,144586,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,2313376,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0
