duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003973,2,503.145,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
5.00013,27846,5569.05,334,4,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,5344,1,0,2,0,0,0,0,0,9,64,11248,0,0,0,0,0
10.0003,52338,5233.64,1865,4,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,29840,1,0,3,0,0,0,0,0,9,64,11248,0,0,0,0,0
15.0001,74949,4996.56,2811,5,1,1,0,2560,0,2558,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,1,45008,2,0,3,0,0,0,0,0,10,71,14969,0,1,0,0,0
20.0091,97501,4872.84,2811,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,1088,0,96,0,544,0,848,0,4,0,784,1,45008,2,0,5,0,0,0,0,0,10,71,26245,0,1,0,0,0
25.0002,118783,4751.29,3017,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,58032,2,0,5,0,0,0,0,0,10,71,30371,0,0,0,0,0
30.0005,140338,4677.85,3354,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,79584,2,0,6,0,0,0,0,0,10,71,30371,0,0,0,0,0
35.0003,160581,4588,3670,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,99824,2,0,6,0,0,0,0,0,10,71,30371,0,0,0,0,0
40.0002,182715,4567.85,4016,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,121968,2,0,7,0,0,0,0,0,10,71,30371,0,0,0,0,0
45.0001,204743,4549.83,4360,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,143984,2,0,7,0,0,0,0,0,10,71,30371,0,0,0,0,0
50.0001,225817,4516.33,4690,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,165072,2,0,9,0,0,0,0,0,10,71,30371,0,0,0,0,0
55.0002,247721,4504,5032,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,186976,2,0,9,0,0,0,0,0,10,71,30371,0,0,0,0,0
60.0094,269501,4490.98,5372,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,208752,2,0,12,0,0,0,0,0,10,71,30371,0,0,0,0,0
65.0001,288698,4441.5,5672,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,227952,2,0,12,0,0,0,0,0,10,71,30371,0,0,0,0,0
70.0036,310501,4435.5,6013,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,249744,2,0,13,0,0,0,0,0,10,71,30371,0,0,0,0,0
75.0001,332742,4436.55,6360,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,271984,2,0,13,0,0,0,0,0,10,71,30371,0,0,0,0,0
80.0001,354215,4427.68,6696,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,293456,2,0,14,0,0,0,0,0,10,71,30371,0,0,0,0,0
85.0003,375678,4419.73,7031,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,314928,2,0,14,0,0,0,0,0,10,71,30371,0,0,0,0,0
90.0002,398953,4432.8,7395,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,338208,2,0,15,0,0,0,0,0,10,71,30371,0,0,0,0,0
95.0001,421071,4432.32,7741,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,360320,2,0,16,0,0,0,0,0,10,71,30371,0,0,0,0,0
100.006,441001,4409.73,8052,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,380256,2,0,16,0,0,0,0,0,10,71,30371,0,0,0,0,0
105,461671,4396.86,8375,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,400912,2,0,18,0,0,0,0,0,10,71,30371,0,0,0,0,0
110,483501,4395.45,8716,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,422752,2,0,20,0,0,0,0,0,10,71,30371,0,0,0,0,0
115,505543,4396.02,9060,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,444784,2,0,20,0,0,0,0,0,10,71,30371,0,0,0,0,0
120,526688,4389.06,9391,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,465936,2,0,20,0,0,0,0,0,10,71,30371,0,0,0,0,0
120.005,526688,4388.88,9391,5,1,1,0,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6280,0,4342,0,261,0,1329,0,2174,0,8,0,2413,1,465936,2,0,20,0,0,0,0,0,10,71,30371,0,0,0,0,0
