duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005599,2,357.143,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,43,0,5,0,0,0,0
5.00353,2442,488.055,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,1220,4,0,0,0,0
10.0012,3580,357.956,0,10,1,2,1,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,1789,4,0,0,0,0
15.0003,4434,295.594,0,10,1,2,1,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,2216,4,0,0,0,0
20.0042,5116,255.746,0,10,1,2,1,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,2557,4,0,0,0,0
25.005,5780,231.154,0,10,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,2889,4,0,0,0,0
30.0075,6386,212.813,0,10,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,3192,4,0,0,0,0
35.0009,6977,199.337,0,10,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,3487,4,0,0,0,0
40.0053,7486,187.125,0,10,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,3742,4,0,0,0,0
45.0021,7963,176.947,0,13,1,3,1,1280,0,1279,2,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,3980,2,0,0,0,0
50.0082,8412,168.212,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,4205,2,0,0,0,0
55.0012,8807,160.124,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,4402,2,0,0,0,0
60.0025,9240,153.994,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,4619,2,0,0,0,0
65.0037,9659,148.592,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,4828,2,0,0,0,0
70.0105,10116,144.493,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,5057,2,0,0,0,0
75.0034,10576,141.007,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,5287,2,0,0,0,0
80.0025,11045,138.058,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,5521,2,0,0,0,0
85.0027,11511,135.419,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,5754,2,0,0,0,0
90.0132,11921,132.436,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,5959,2,0,0,0,0
95.015,12259,129.022,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6128,2,0,0,0,0
100.002,12548,125.477,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6273,2,0,0,0,0
105.015,12816,122.04,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6407,2,0,0,0,0
110.004,13064,118.759,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6531,2,0,0,0,0
115.003,13291,115.571,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6644,2,0,0,0,0
120.019,13509,112.557,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6753,2,0,0,0,0
120.019,13509,112.557,0,13,1,3,1,1280,0,1279,2,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,56,6753,2,0,0,0,0
