duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.007627,2,262.192,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,50,0,6,0,0,0,0
5.00017,2166,433.185,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2000,0,0,0,0,0,0,20,52,1442,6,0,0,0,0
10.0003,3263,326.289,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3000,0,0,0,0,0,0,21,55,2174,5,0,0,0,0
15.0002,4088,272.529,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,0,0,0,0,0,21,55,2724,5,0,0,0,0
20.5499,5001,243.359,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5000,0,0,0,0,0,0,21,55,3332,5,0,0,0,0
25.0005,5602,224.075,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5500,0,0,0,0,0,0,21,55,3732,5,0,0,0,0
30.0026,6250,208.315,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6000,0,0,0,0,0,0,21,55,4164,5,0,0,0,0
35.0068,6829,195.076,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6500,0,0,0,0,0,0,21,55,4550,5,0,0,0,0
40.0052,7322,183.026,0,14,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7000,0,0,0,0,0,0,21,55,4880,5,0,0,0,0
45.006,7805,173.421,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7500,0,0,0,0,0,0,21,55,5202,5,0,0,0,0
50.0014,8285,165.695,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8000,0,0,0,0,0,0,21,55,5522,5,0,0,0,0
55.0091,8760,159.246,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8500,0,0,0,0,0,0,21,55,5838,5,0,0,0,0
60.0092,9195,153.226,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9000,0,0,0,0,0,0,21,55,6128,5,0,0,0,0
65.0061,9594,147.586,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9500,0,0,0,0,0,0,21,55,6394,5,0,0,0,0
70.0877,10001,142.693,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10000,0,0,0,0,0,0,21,55,6666,5,0,0,0,0
75.0009,10412,138.825,0,14,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10000,0,0,0,0,0,0,21,55,6940,5,0,0,0,0
