duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.009598,2,208.312,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,43,0,4,0,0,0,0
5.00152,2454,490.651,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,1226,3,0,0,0,0
10.0016,3628,362.743,0,9,1,2,1,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,1813,3,0,0,0,0
15.0008,4509,300.583,0,9,1,2,1,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,2253,3,0,0,0,0
20.0006,5187,259.342,0,9,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,2592,3,0,0,0,0
25.0025,5861,234.417,0,9,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,2929,3,0,0,0,0
30.0074,6431,214.314,0,9,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,3214,3,0,0,0,0
35.0072,6985,199.53,0,9,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,3491,3,0,0,0,0
40.0039,7440,185.982,0,9,1,2,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,46,3719,3,0,0,0,0
45.0074,7874,174.949,0,11,1,2,1,1280,0,1279,1,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,3936,2,0,0,0,0
50.0014,8245,164.895,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,4121,2,0,0,0,0
55.0029,8682,157.846,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,4340,2,0,0,0,0
60.0002,9115,151.916,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,4556,2,0,0,0,0
65.0064,9552,146.939,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,4775,2,0,0,0,0
70.001,9976,142.512,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,4987,2,0,0,0,0
75.0096,10395,138.582,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,5196,2,0,0,0,0
80.0022,10829,135.359,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,5413,2,0,0,0,0
85.0037,11262,132.488,0,11,1,2,1,1280,0,1279,1,1277,0,160,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,53,5630,2,0,0,0,0
