duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.011637,2,171.836,0,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,50,0,5,0,0,0,0
5.00094,2124,424.72,0,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2000,0,0,0,0,0,0,19,52,1414,5,0,0,0,0
10.0031,3249,324.801,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3000,0,0,0,0,0,0,20,55,2164,4,0,0,0,0
15.0003,4033,268.861,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,0,0,0,0,0,20,55,2686,4,0,0,0,0
20.0009,4951,247.539,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4500,0,0,0,0,0,0,20,55,3298,4,0,0,0,0
25.0024,5581,223.219,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5500,0,0,0,0,0,0,20,55,3718,4,0,0,0,0
30.0008,6184,206.128,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6000,0,0,0,0,0,0,20,55,4120,4,0,0,0,0
35.0004,6791,194.026,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6500,0,0,0,0,0,0,20,55,4526,4,0,0,0,0
40.0034,7276,181.885,0,13,1,3,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7000,0,0,0,0,0,0,20,55,4848,4,0,0,0,0
45.0034,7772,172.698,0,13,1,3,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7500,0,0,0,0,0,0,20,55,5180,4,0,0,0,0
