duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002981,2,670.466,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0
5.15981,9001,1744.44,0,5,1,1,1,768,0,767,0,765,0,96,0,95,0,93,1,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9000,0,0,0,0,0,0,7,70,0,0,0,0,0,0
10.2165,17501,1713.01,0,5,1,1,1,768,0,767,0,765,0,96,0,95,0,93,1,5376,0,6151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17500,0,0,0,0,0,0,7,70,0,0,0,0,0,0
15.1674,26001,1714.27,0,5,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,1,5376,0,6151,0,4018,0,260,0,1296,0,2046,0,2,0,1779,0,16,2,26007,0,0,0,0,0,0,7,70,0,0,0,0,0,0
20.1175,34501,1714.97,0,5,1,1,1,2304,0,1534,0,1530,0,192,0,127,0,125,1,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,2403,0,32,2,34516,0,0,0,0,0,0,7,70,0,0,0,0,0,0
25.08,43001,1714.55,0,5,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,1,12543,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,2403,0,32,2,43016,0,0,0,0,0,0,7,70,0,0,0,0,0,0
30.2503,52001,1719.02,0,5,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,1,12543,0,14271,0,9124,0,618,0,1840,0,2895,0,4,0,2403,0,32,2,52016,0,0,0,0,0,0,7,70,0,0,0,0,0,0
35.0086,59001,1685.33,32,5,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,1,12543,0,14271,0,9124,0,618,0,3138,0,4941,0,7,0,4182,0,2544,2,60285,0,0,0,0,0,0,7,70,0,0,0,0,0,0
40.7059,64501,1584.56,86,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,1,12543,0,14271,0,9124,0,618,0,3138,0,4941,0,7,0,4182,1,6912,3,70198,0,0,0,0,0,0,8,80,756,0,1,0,0,0
45.0017,67001,1488.85,86,7,1,1,1,3072,0,2301,0,2295,0,288,0,222,0,218,1,12543,0,14271,0,9124,0,618,0,3138,0,4941,0,7,0,4182,1,6912,3,77698,0,0,0,0,0,0,8,80,2422,0,1,0,0,0
