duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006959,2,287.315,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,66,0,4,0,0,0,0
5.00044,1898,379.567,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4500,0,0,0,0,0,0,21,70,1422,4,0,0,0,0
10.0017,2711,271.055,0,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7500,0,0,0,0,0,0,23,76,2031,3,0,0,0,0
15.0025,3600,239.96,0,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10073,0,0,0,0,0,0,24,80,2697,2,0,0,0,0
20.1995,4501,222.827,0,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12761,0,0,0,0,0,0,24,80,3372,2,0,0,0,0
25.8031,5501,213.191,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15761,0,0,0,0,0,0,25,83,4122,2,0,0,0,0
30.0017,6360,211.988,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17261,0,0,0,0,0,0,25,83,4767,2,0,0,0,0
35.384,7001,197.858,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20261,0,0,0,0,0,0,25,83,5247,2,0,0,0,0
40.0004,7575,189.373,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21761,0,0,0,0,0,0,25,83,5679,2,0,0,0,0
45.0028,8147,181.033,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23261,0,0,0,0,0,0,25,83,6108,2,0,0,0,0
50.005,8811,176.202,0,22,1,5,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24450,0,0,0,0,0,0,25,83,6606,2,0,0,0,0
