duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.007212,2,277.239,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,64,0,3,0,0,0,0
5.35648,2001,373.566,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,0,0,0,0,0,0,19,67,1497,2,0,0,0,0
10.0022,3012,301.132,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5250,0,0,0,0,0,0,21,75,2256,1,0,0,0,0
15.0029,4165,277.613,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6285,0,0,0,0,0,0,22,78,3120,0,0,0,0,0
20.0018,5274,263.676,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8011,0,0,0,0,0,0,24,85,3954,1,0,0,0,0
25.002,6284,251.339,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9761,0,0,0,0,0,0,24,85,4710,1,0,0,0,0
35.0022,7428,212.215,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11511,0,0,0,0,0,0,24,85,5568,1,0,0,0,0
40.0043,8021,200.503,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13261,0,0,0,0,0,0,24,85,6012,1,0,0,0,0
45.0008,8787,195.263,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13825,0,0,0,0,0,0,24,85,6588,1,0,0,0,0
50.4557,9501,188.304,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15143,0,0,0,0,0,0,24,85,7122,1,0,0,0,0
55.0087,10115,183.88,0,20,1,5,7,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16018,0,0,0,0,0,0,24,85,7584,1,0,0,0,0
