duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006358,2,314.515,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,62,0,3,0,0,0,0
5.00241,2060,411.802,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2669,0,0,0,0,0,0,18,75,1372,1,0,0,0,0
10.0003,3408,340.789,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4324,0,0,0,0,0,0,18,75,2270,1,0,0,16,16
15.0007,4690,312.651,0,18,1,4,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6324,0,0,0,0,0,0,20,83,3124,2,0,0,40,40
20.0047,5679,283.884,0,18,1,4,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7658,0,0,0,0,0,0,20,83,3784,2,0,0,40,40
25.119,6501,258.808,0,18,1,4,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9230,0,0,0,0,0,0,20,83,4332,2,0,0,40,40
30.0021,7373,245.749,0,18,1,4,6,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9982,0,0,0,0,0,0,20,83,4914,2,0,0,80,80
35.0037,8119,231.947,0,18,1,4,6,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11316,0,0,0,0,0,0,20,83,5410,2,0,0,80,80
40.4404,9001,222.574,0,18,1,4,6,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12649,0,0,0,0,0,0,20,83,5998,2,0,0,80,80
45.0012,9589,213.083,0,18,1,4,6,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13317,0,0,0,0,0,0,20,83,6390,2,0,0,80,80
