duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003118,2,641.026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
5.00012,127566,25512.6,7401,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,118416,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
10.0001,253658,25365.5,15282,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,244512,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
15.0001,367274,24484.8,22383,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,358128,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
20.0001,488999,24449.8,29991,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,479856,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
25.0001,611918,24476.6,37673,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,602768,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
30.0001,740492,24683,45709,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,731344,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
35.0001,866474,24756.3,53583,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,857328,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
40.0001,992266,24806.6,61445,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,983120,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
45.0001,1126400,25031.1,69829,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1117264,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
50.0001,1260854,25217,78232,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1251712,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
55.0004,1394501,25354.4,86585,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1385360,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
60.0001,1516378,25272.9,94202,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1507232,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
65.0001,1638015,25200.2,101804,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1628864,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
70.0001,1757881,25112.5,109296,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1748736,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
75.0001,1880506,25073.4,116960,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1871360,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
80.0001,2005912,25073.9,124798,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,1996768,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
85.0001,2128684,25043.3,132471,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2119536,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
90.0003,2248001,24977.7,139929,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2238864,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
95.0001,2362291,24866.2,147072,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2353152,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
100,2484038,24840.4,154681,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2474896,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
105,2610216,24859.2,162567,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2601072,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
110,2732570,24841.5,170214,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2723424,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
115,2856346,24837.8,177950,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2847200,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
120,2972156,24767.9,185188,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2963008,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
120,2972156,24767.9,185188,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,272,0,2963008,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
