duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003662,2,545.852,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
5.00021,32304,6460.53,0,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1296,0,2046,0,2,0,3060,0,16,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
10.0002,53307,5330.58,92,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,18605,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
15.0001,72292,4819.43,177,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,37590,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
20.0002,91639,4581.9,263,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,56937,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
25.0003,109741,4389.6,344,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,75039,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
30.0002,125401,4180.01,414,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,90699,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
35.0002,140338,4009.63,481,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,105636,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
40.0002,156711,3917.75,554,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,122009,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
45.0001,172000,3822.21,622,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,137298,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
50.0002,188574,3771.47,696,5,1,2,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,358,0,1840,0,2895,0,4,0,4132,0,153872,2,0,0,0,0,0,0,0,7,29,0,1,0,0,0,0
