duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006489,2,308.166,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,50,0,1,0,0,0,0
5.00247,2595,518.743,0,8,1,1,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,1296,0,0,0,0,0
10.003,3776,377.487,0,8,1,1,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,1887,0,0,0,0,0
15.006,4652,310.01,0,8,1,1,2,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,2325,0,0,0,0,0
20.0017,5328,266.377,0,8,1,1,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,2663,0,0,0,0,0
25.007,5992,239.613,0,8,1,1,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,2995,0,0,0,0,0
30.0062,6572,219.021,0,8,1,1,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,3285,0,0,0,0,0
35.0064,7124,203.506,0,8,1,1,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,3561,0,0,0,0,0
40.009,7640,190.957,0,8,1,1,2,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,3819,0,0,0,0,0
45.0065,8123,180.485,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,4060,0,0,0,0,0
50.0046,8568,171.344,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,4283,0,0,0,0,0
55.0027,8992,163.483,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,4495,0,0,0,0,0
60.0055,9426,157.086,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,4712,0,0,0,0,0
65.0032,9850,151.531,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,4924,0,0,0,0,0
70.0027,10282,146.88,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,5140,0,0,0,0,0
75.0037,10715,142.86,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,5356,0,0,0,0,0
80.0067,11147,139.326,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,5572,0,0,0,0,0
85.0005,11589,136.34,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,5793,0,0,0,0,0
90.0007,12013,133.477,0,8,1,1,2,1280,0,1279,0,1277,0,160,0,159,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,59,6005,0,0,0,0,0
