duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004052,2,493.218,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,21,0,5,0,0,0,0
5.12918,3001,585.083,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3000,0,0,0,9,21,0,5,0,0,0,0
10.0003,6248,624.782,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6000,0,0,0,9,21,0,5,0,0,0,0
15.0006,9453,630.177,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,1,0,0,0,9000,0,0,0,9,21,0,5,0,0,0,0
20.0009,12194,609.674,0,9,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,12000,0,0,0,10,23,145,5,0,0,0,0
25.0007,14038,561.503,0,9,0,0,0,1536,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,14000,0,0,0,10,23,1067,5,0,0,0,0
30.1256,16001,531.144,0,9,0,0,0,1536,0,1534,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,16000,0,0,0,10,23,2048,5,0,0,0,0
35.1619,18001,511.946,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,18000,0,0,0,10,23,3048,5,0,0,0,0
40.0002,20317,507.922,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,20000,0,0,0,10,23,4206,5,0,0,0,0
45.001,22238,494.167,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,2032,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,22000,0,0,0,10,23,5167,5,0,0,0,0
50.0011,24295,485.889,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1088,0,96,0,544,0,848,0,2,0,3024,1,16,2,0,0,0,24000,0,0,0,10,23,6195,5,0,0,0,0
55.0003,26326,478.652,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,848,0,2,0,3024,1,16,2,0,0,0,26000,0,0,0,10,23,7211,5,0,0,0,0
60.001,28293,471.542,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,848,0,2,0,3024,1,16,2,0,0,0,28000,0,0,0,10,23,8194,5,0,0,0,0
65.0014,30246,465.313,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,2,0,3024,1,16,2,0,0,0,30000,0,0,0,10,23,9171,5,0,0,0,0
70.0011,32066,458.078,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,2,0,3024,1,16,2,0,0,0,32000,0,0,0,10,23,10081,5,0,0,0,0
75.0012,34096,454.606,0,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,2,0,3024,1,16,2,0,0,0,34000,0,0,0,10,23,11096,5,0,0,0,0
80.4073,36001,447.733,11,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,5,0,6050,1,1300,2,0,0,0,36000,0,0,0,10,23,11407,5,0,0,0,0
85.3079,37501,439.596,13,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,5,0,6050,1,2800,2,0,0,0,37500,0,0,0,10,23,11407,5,0,0,0,0
90.295,39001,431.929,14,9,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3579,0,3690,0,1704,0,200,0,1125,0,2020,0,5,0,6050,1,4300,2,0,0,0,39000,0,0,0,10,23,11407,5,0,0,0,0
