duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005045,2,396.275,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,33,0,7,0,0,0,0
5.34394,1501,280.879,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3000,2953,0,0,17,35,749,6,0,0,0,2697
10.1552,3001,295.513,0,13,1,1,2,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5496,5449,0,0,18,37,1499,5,0,0,0,5193
20.5904,6501,315.73,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11371,11211,0,0,18,37,3249,5,0,0,0,10364
25.7971,8001,310.152,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14284,14115,0,0,18,37,3999,5,0,0,0,13227
30.2589,9501,313.99,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17284,17037,0,0,18,37,4749,5,0,0,0,14357
35.3075,11501,325.738,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20025,19520,0,0,18,37,5749,5,0,0,0,16840
40.9033,14001,342.295,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22708,22203,0,0,18,37,6999,5,0,0,0,19523
45.4697,15001,329.912,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24708,24203,0,0,18,37,7499,5,0,0,0,21523
60.4035,19501,322.846,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32205,31224,0,0,18,37,9749,5,0,0,0,26220
65.0589,21501,330.485,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34205,33224,0,0,18,37,10749,5,0,0,0,28220
70.7008,23501,332.401,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37356,36244,0,0,18,37,11749,5,0,0,0,29209
80.2543,27001,336.443,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,42091,40498,0,0,18,37,13499,5,0,0,0,33242
85.0003,29017,341.375,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44091,42498,0,0,18,37,14507,5,0,0,0,35242
90.694,30501,336.307,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,3369,0,160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46876,45230,0,0,18,37,15249,5,0,0,0,37660
100,33353,333.529,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,3369,0,160,0,752,0,0,0,0,0,0,0,0,2,0,0,0,51243,49508,0,0,18,37,16675,5,0,0,0,41414
110.641,35501,320.866,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,3369,0,160,0,752,0,1239,0,0,0,0,0,0,2,0,0,0,55854,54119,0,0,18,37,17749,5,0,0,0,46025
115.545,37001,320.229,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,3369,0,160,0,752,0,1239,0,0,0,0,0,0,2,0,0,0,58854,57082,0,0,18,37,18499,5,0,0,0,46819
120.74,38500,318.867,0,13,1,1,2,1024,0,1023,0,1021,0,128,0,65,0,67,0,3584,0,4262,0,3369,0,160,0,752,0,1239,0,0,0,0,0,0,2,0,0,0,61850,59562,0,0,18,37,19249,5,0,0,0,48740
