duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003005,2,665.336,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0
5.00012,75836,15166.8,1382,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,44224,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
10.0001,150033,15003.1,3700,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,118416,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
15.0002,223560,14903.8,5998,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,191936,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
20.0001,294052,14702.5,8201,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,262432,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
25.0001,367402,14696,10493,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,335776,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
30.0001,429078,14302.5,12420,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,397456,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
35.0001,501004,14314.4,14668,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,469392,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
40.0001,568560,14214,16779,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,536944,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
45.0002,639269,14205.9,18989,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,607648,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
50.0001,710116,14202.3,21203,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,678496,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
55.0001,782098,14219.9,23452,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,750480,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
60.0002,851651,14194.1,25626,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,820032,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
65.0001,922239,14188.3,27832,4,1,1,1,1536,0,1534,0,1530,0,192,0,127,0,125,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,1040,0,890624,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0
