duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003333,2,599.7,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0
5.00012,45010,9001.77,0,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,2179,1,32,2,0,0,0,0,0,0,0,6,60,6113,0,0,0,0,0
10.0001,78783,7878.18,45,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,4272,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
15.0004,114082,7605.28,412,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,39568,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
20.0014,148501,7424.53,771,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,73984,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
25.0001,184112,7364.44,1142,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,109600,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
30.0005,218576,7285.75,1501,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,144064,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
35.0002,252703,7220.05,1856,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,178192,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
40.0001,285833,7145.81,2201,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,211312,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
45.0001,321493,7144.27,2573,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,246976,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
50.0001,356245,7124.88,2935,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,281728,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
55.0027,391001,7108.76,3297,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12457,0,6335,0,711,0,3713,0,6418,0,7,0,3827,1,316480,2,0,0,0,0,0,0,0,6,60,20879,0,0,0,0,0
