duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004793,2,417.101,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,42,0,1,0,0,0,0
5.00012,29541,5908.05,0,7,1,1,2,1280,0,1279,0,1277,0,160,0,65,0,67,0,3584,0,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,57,14769,0,0,0,0,0
10.0031,59501,5948.27,0,11,1,1,2,2560,0,2558,0,2554,0,320,0,97,0,99,0,5376,0,6279,0,4556,0,258,0,1286,0,2047,0,4,0,1666,2,16,2,0,0,0,0,0,0,0,9,64,29741,0,0,0,0,0
15.0002,88505,5900.26,0,11,1,1,2,3840,0,3837,0,3831,0,480,0,129,0,131,0,7168,0,8311,0,5644,0,354,0,1830,0,2895,0,12,0,3298,2,48,2,0,0,0,0,0,0,0,9,64,45459,0,0,0,0,0
20.0003,107958,5397.83,0,11,1,1,2,5120,0,5116,0,5108,0,640,0,161,0,163,0,8959,0,8311,0,5644,0,354,0,1830,0,2895,0,12,0,3298,2,48,2,0,0,0,0,0,0,0,9,64,60051,0,0,0,0,0
25.0003,127542,5101.63,0,11,1,1,2,5120,0,5116,0,5108,0,640,0,161,0,163,0,8959,0,10150,0,6438,0,462,0,2450,0,3956,0,12,0,3298,2,48,2,0,0,0,0,0,0,0,9,64,74739,0,0,0,0,0
30.0001,157266,5242.17,113,11,1,1,2,6400,0,6395,0,6385,0,800,0,193,0,195,0,10751,0,12181,0,7394,0,560,0,3011,0,4888,0,22,0,4936,2,18096,2,0,0,0,0,0,0,0,9,64,75057,0,0,0,0,0
35.0001,183014,5228.95,274,11,1,1,2,6400,0,6395,0,6385,0,800,0,193,0,195,0,10751,0,12181,0,7394,0,560,0,3011,0,4888,0,22,0,4936,2,43840,2,0,0,0,0,0,0,0,9,64,75057,0,0,0,0,0
40.0002,206851,5171.25,423,11,1,1,2,6400,0,6395,0,6385,0,800,0,193,0,195,0,10751,0,12181,0,7394,0,560,0,3011,0,4888,0,22,0,4936,2,67680,2,0,0,0,0,0,0,0,9,64,75057,0,0,0,0,0
45.0006,231501,5144.39,577,11,1,1,2,6400,0,6395,0,6385,0,800,0,193,0,195,0,10751,0,12181,0,7394,0,560,0,3011,0,4888,0,22,0,4936,2,92320,2,0,0,0,0,0,0,0,9,64,75057,0,0,0,0,0
