duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003513,2,568.99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
5.00009,36911,7382.06,1661,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,26576,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
10.0001,73990,7398.92,3979,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,63664,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
15.0001,108528,7235.14,6137,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,98192,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
20.0002,137377,6868.77,7941,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,127056,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
25.006,173001,6918.37,10167,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,162672,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
30.0002,207293,6909.72,12310,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,196960,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
35.0002,240286,6865.27,14372,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,229952,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
40.0001,266445,6661.11,16007,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,256112,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
45.0001,302232,6716.25,18244,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,656,0,291904,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
