duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006178,2,323.572,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,58,0,0,0,0,0,0
5.00019,29985,5996.76,467,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,7472,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
10.0004,55340,5533.8,2052,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,32832,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
15.0001,80592,5372.76,3630,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,58080,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
20.0001,105883,5294.13,5211,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,83376,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
25.0001,130368,5214.69,6741,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,107856,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
30.0032,155001,5166.15,8281,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,132496,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
35.0001,180130,5146.55,9852,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,157632,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
40.0001,203762,5094.03,11329,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,181264,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
45.0001,228539,5078.63,12877,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,206032,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
50.0001,253582,5071.63,14442,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,231072,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
55.0002,277331,5042.37,15927,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,254832,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
60.0003,302289,5038.13,17486,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,279776,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
65.0002,328405,5052.37,19119,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,305904,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
70.0002,354490,5064.13,20749,3,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,784,0,331984,1,0,0,0,0,0,0,0,7,58,11248,0,0,0,0,0
