duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003316,2,602.773,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
5.00034,17407,3481.16,448,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,7168,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
10.0003,33104,3310.3,1430,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,22880,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
15.0087,48001,3198.22,2361,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,37776,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
20.0001,63110,3155.48,3305,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,52880,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
25.0002,78398,3135.9,4260,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,68160,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
30.0003,93727,3124.21,5218,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,83488,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
35.0003,108943,3112.63,6169,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,98704,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
40.0001,123969,3099.22,7109,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,113744,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
45.0071,139501,3099.53,8079,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,129264,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
50.0009,155001,3099.96,9048,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,144768,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
55.0001,168519,3063.98,9893,7,1,1,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1360,0,158288,1,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0
