duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002862,2,698.324,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,40,0,1,0,0,0,0
5.00023,38858,7771.25,0,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,7168,0,8154,0,5106,0,359,0,1840,0,2895,0,4,0,2545,1,32,2,0,0,0,0,0,0,0,6,60,2854,1,0,0,0,0
10.0002,63688,6368.67,0,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,1840,0,2895,0,4,0,2545,1,32,2,0,0,0,0,0,0,0,6,60,15269,1,0,0,0,0
15.0001,87141,5809.36,37,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,11181,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
20.0001,113463,5673.12,106,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,37503,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
25.0002,138934,5557.33,172,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,62974,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
30.0004,165553,5518.36,241,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,89593,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
35.0006,191081,5459.37,308,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,115121,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
40.0001,217330,5433.24,376,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,141370,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
45.0001,243678,5415.06,445,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,167718,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
50.0001,268463,5369.25,509,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,192503,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
55.0002,293947,5344.47,576,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,217987,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
60.0001,318255,5304.24,639,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,242295,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
65.0051,345001,5307.29,709,7,1,1,1,2304,0,2301,0,2295,0,288,0,222,0,218,0,12532,0,12738,0,6547,0,705,0,3626,0,6295,0,7,0,4459,1,269041,2,0,0,0,0,0,0,0,6,60,21422,1,0,0,0,0
