duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006297,2,317.561,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,37,0,3,0,0,0,0
5.00275,3290,657.638,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,70,1644,3,0,0,0,0
10.0017,5032,503.116,0,19,0,0,8,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,70,2515,6,0,0,0,0
15.0044,6359,423.81,0,19,0,0,8,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,70,3178,6,0,0,0,0
20.0026,7236,361.753,0,20,0,0,8,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,3617,5,0,0,0,0
25.002,8109,324.334,0,21,0,0,8,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,4053,6,0,0,0,0
30.0036,8973,299.064,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,4485,6,0,0,0,0
35.0049,9854,281.504,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,4926,6,0,0,0,0
40.005,10509,262.692,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,5253,6,0,0,0,0
45.0069,11126,247.206,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,5562,6,0,0,0,0
50.0032,11718,234.345,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,5858,6,0,0,0,0
55.0039,12262,222.93,0,21,0,0,8,2048,2,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,6130,6,0,0,0,0
60.0017,12809,213.477,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,6403,6,0,0,0,0
65.0043,13385,205.909,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,6691,6,0,0,0,0
70.0032,13943,199.177,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,6970,6,0,0,0,0
75.0014,14475,192.996,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,7236,6,0,0,0,0
80.0059,15037,187.949,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,7517,6,0,0,0,0
85.0011,15603,183.562,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,7800,6,0,0,0,0
90.0089,16159,179.527,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,8078,6,0,0,0,0
95.0118,16706,175.831,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,8352,6,0,0,0,0
100,17233,172.33,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,8615,6,0,0,0,0
105.002,17796,169.483,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,8897,6,0,0,0,0
110.006,18359,166.891,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,9178,6,0,0,0,0
115.001,18924,164.556,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,9461,6,0,0,0,0
120.002,19498,162.48,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,9748,6,0,0,0,0
120.018,19498,162.459,0,21,0,0,8,2048,2,2047,0,2045,0,256,0,98,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,75,9748,6,0,0,0,0
