duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003968,2,503.778,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,41,0,2,0,0,0,0
5.00013,41385,8276.78,0,8,1,1,1,2048,0,2046,0,2042,0,256,0,159,0,157,0,8960,0,10330,0,7282,0,423,0,2032,0,2366,0,3,0,2529,1,16,2,0,0,0,0,0,0,0,7,58,0,2,0,0,0,0
10.0002,70174,7017.24,0,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,10330,0,7282,0,423,0,2032,0,3215,0,6,0,3185,1,32,2,0,0,0,0,0,0,0,7,58,13999,2,0,0,0,0
15.0002,98082,6538.72,0,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,6,0,3185,1,32,2,0,0,0,0,0,0,0,7,58,27953,2,0,0,0,0
20.0001,120321,6016,25,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,19061,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
25.004,140501,5619.14,41,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,39241,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
30.0001,159328,5310.91,56,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,58068,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
35.0001,181388,5182.5,77,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,80128,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
40.0058,204001,5099.28,95,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,102741,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
45.0002,227433,5054.04,114,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,126173,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
50.0002,248560,4971.18,132,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,147300,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
55.0001,270074,4910.43,150,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,168814,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
60.0003,291565,4859.39,169,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,190305,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
65.0002,312586,4809,184,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,211326,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
70.0001,334070,4772.42,201,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,232810,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
75.0002,355405,4738.72,220,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,254145,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
80.0001,378127,4726.58,239,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,276867,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
85.0002,400237,4708.66,257,8,1,1,1,3072,0,3069,0,3063,0,384,0,286,0,282,0,16118,0,17044,0,10529,0,836,0,4049,0,7219,0,10,0,5739,1,298977,2,0,0,0,0,0,0,0,7,58,29559,2,0,0,0,0
