duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003521,2,567.698,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
5.00012,37048,7409.42,1674,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,26784,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
10.0002,72839,7283.78,3911,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,62576,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
15.0001,108795,7252.95,6158,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,98528,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
20.0002,145090,7254.43,8427,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,134832,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
25.0001,179826,7193,10598,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,169568,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
30.0001,215505,7183.47,12828,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,205248,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
35.0002,251326,7180.71,15066,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,241056,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
40.0002,287013,7175.3,17297,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,276752,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
45.0002,320836,7129.66,19411,2,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,592,0,310576,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
