duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004527,2,441.599,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
5.00009,17002,3400.34,379,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,6064,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
10.0001,31207,3120.66,1267,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,20272,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
15.0002,44716,2981.03,2111,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,33776,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
20.0003,58545,2927.21,2976,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,47616,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
25.0003,72900,2915.97,3873,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,61968,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
30.0001,86435,2881.15,4719,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,75504,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
35.0002,100112,2860.33,5573,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,89168,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
40.0001,114163,2854.07,6452,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,103232,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
45.0014,127001,2822.16,7254,6,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1264,0,116064,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0
