duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003994,2,500.501,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,35,0,0,0,0,0,0
5.00013,28592,5718.25,120,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,3840,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
10.0002,52695,5269.38,873,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,27952,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
15.0003,76915,5127.57,1630,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,52176,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
20.0001,99803,4990.11,2345,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,75056,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
25.0002,123063,4922.47,3072,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,98320,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
30.0002,146692,4889.7,3811,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,121952,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
35.0021,172001,4914.02,4602,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,147264,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
40.0001,196239,4905.96,5359,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,171488,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
45.0002,219603,4880.04,6089,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,194864,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
50.0003,243324,4866.45,6830,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,218576,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
55.0031,266501,4845.19,7555,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,241760,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
60.005,290501,4841.28,8305,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,265760,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
65.0001,315198,4849.19,9076,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,290448,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
70.0002,339997,4857.09,9851,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,315248,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
75.0033,364501,4859.8,10617,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,339760,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
80.0002,389389,4867.35,11395,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,364640,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
85.0001,415576,4889.12,12213,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,390832,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
90.0005,439452,4882.77,12959,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,414704,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
95.0014,463001,4873.63,13695,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,438256,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
100,487928,4879.27,14474,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,463184,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
105,512111,4877.24,15230,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,487360,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
110,535575,4868.85,15963,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,510832,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
115,560671,4875.39,16747,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,535920,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
120.01,585500,4878.77,17523,5,1,2,0,2048,0,2046,0,2042,0,256,0,80,0,80,1,4480,0,5139,0,3231,0,227,0,1194,0,1873,0,6,0,2033,0,560752,2,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0
