duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003966,2,504.159,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,0
5.41741,2001,369.365,0,9,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,4000
10.106,3001,296.952,0,9,0,0,0,1024,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,6000
15.2451,4001,262.444,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,8000
20.2921,5001,246.45,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,10000
25.3659,6001,236.578,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,12000
30.4815,7001,229.68,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,14000
35.0025,7985,228.126,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,15000
40.0004,8870,221.748,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,17000
45.0009,9841,218.684,0,9,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,56,0,3,0,0,0,19000
