duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005029,2,397.614,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,0,5,0,0,0,0
5.00123,3603,720.422,0,8,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,1800,5,0,0,0,0
10.0039,5046,504.405,0,8,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,2522,5,0,0,0,0
15.0017,5934,395.555,0,8,0,0,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,2966,5,0,0,0,0
20.0015,6811,340.525,0,8,0,0,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,3404,5,0,0,0,0
25.0047,7600,303.943,0,8,0,0,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,3799,5,0,0,0,0
30.0071,8158,271.869,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,4078,5,0,0,0,0
35.0068,8704,248.637,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,4351,5,0,0,0,0
40.0069,9211,230.235,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,4604,5,0,0,0,0
45.0008,9731,216.241,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,4864,5,0,0,0,0
50.0001,10231,204.62,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5114,5,0,0,0,0
55.0021,10650,193.629,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5324,5,0,0,0,0
60.0051,10989,183.134,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5493,5,0,0,0,0
65.002,11288,173.656,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5643,5,0,0,0,0
70.0145,11573,165.294,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5785,5,0,0,0,0
75.0021,11842,157.889,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,5920,5,0,0,0,0
80.017,12113,151.38,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6055,5,0,0,0,0
85.0105,12365,145.453,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6181,5,0,0,0,0
90.0161,12620,140.197,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6309,5,0,0,0,0
95.0152,12871,135.463,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6434,5,0,0,0,0
100.009,13142,131.408,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6570,5,0,0,0,0
105.029,13413,127.708,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6705,5,0,0,0,0
110.002,13673,124.298,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6835,5,0,0,0,0
115.011,13910,120.945,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,6954,5,0,0,0,0
120.003,14130,117.747,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,7064,5,0,0,0,0
120.012,14130,117.738,0,8,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,66,7064,5,0,0,0,0
