duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003698,2,540.687,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
5.0002,18067,3613.25,35,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,7587,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
10.0002,32779,3277.83,83,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,22299,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
15.0002,46915,3127.63,130,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,36435,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
20.0012,59361,2967.87,171,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,48881,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
25.0283,73001,2916.74,216,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,62521,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
30.0002,86403,2880.08,260,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,75923,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
35.0005,99139,2832.5,302,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,88659,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
40.0008,112657,2816.37,346,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,102177,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
45.0005,126036,2800.77,390,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,115556,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
50.0038,138641,2772.61,432,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,128161,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
55.0056,151501,2754.28,474,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,141021,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
60.0169,164501,2740.91,517,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,154021,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
65.0002,176707,2718.56,557,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,166227,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
70.0003,190508,2721.53,602,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,180028,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
75.0007,203601,2714.65,645,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,193121,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
80.0043,216017,2700.07,686,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,205537,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
85.0011,228737,2690.99,728,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,218257,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
90.0001,241023,2678.03,768,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,230543,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
95.0334,253501,2667.49,809,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,243021,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
100.002,265521,2655.15,849,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,255041,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
105,277902,2646.68,890,5,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,816,0,267422,1,0,0,0,0,0,0,0,7,58,0,3,0,0,0,0
