duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003437,2,581.734,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
5.0001,28893,5778.48,174,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,18509,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
10.0002,55498,5549.71,412,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,45114,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
15.0001,80689,5379.22,637,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,70305,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
20.0082,106001,5297.87,863,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,95617,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
25.0002,130349,5213.91,1080,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,119965,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
30.0002,153439,5114.6,1286,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,143055,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
35.0002,177730,5077.97,1503,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,167346,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
40.0002,202085,5052.1,1721,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,191701,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
45.0004,226257,5027.89,1936,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,215873,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
50.0003,248004,4960.05,2131,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,237620,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
55.0002,272639,4957.05,2350,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,262255,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
60.0002,297280,4954.65,2570,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,286896,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
65.0003,320345,4928.36,2776,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,309961,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
70.0003,343885,4912.62,2987,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,333501,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
75.0006,367121,4894.91,3194,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,356737,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
80.0005,390449,4880.58,3402,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,380065,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
85.0002,413575,4865.58,3609,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,403191,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
90.0003,436049,4844.97,3810,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,425665,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
95.0025,460001,4841.99,4023,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,449617,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
100,484177,4841.75,4239,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,473793,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
105,508979,4847.41,4461,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,498595,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
110,532906,4844.59,4674,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,522522,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
115,556553,4839.58,4885,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,546169,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
120,581514,4845.94,5108,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,571130,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
120.001,581514,4845.92,5108,3,0,0,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,720,0,571130,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
