duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004854,2,411.946,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,57,0,1,0,0,0,0
5.42101,3501,645.821,0,7,0,0,1,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3500,1,8,57,0,1,0,0,0,0
10.278,6501,632.516,0,9,0,0,1,1280,0,1279,0,1277,0,160,0,32,0,32,1,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6500,1,9,64,0,0,0,0,0,0
15.3765,9501,617.89,0,9,0,0,1,1280,0,1279,0,1277,0,160,0,32,0,32,1,1792,0,2032,0,1088,0,96,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9500,1,9,64,0,0,0,0,0,0
20.4926,12501,610.024,0,9,0,0,1,1280,0,1279,0,1277,0,160,0,32,0,32,1,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,848,0,16,2,0,0,0,0,0,12507,1,9,64,0,0,0,0,0,0
25.3043,15501,612.583,0,9,0,0,1,2560,0,2558,0,2554,0,320,0,64,0,64,1,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,848,0,16,2,0,0,0,0,0,15507,1,9,64,0,0,0,0,0,0
30.4585,19501,640.247,0,9,0,0,1,2560,0,2558,0,2554,0,320,0,64,0,64,1,3584,0,4035,0,1088,0,96,0,544,0,848,0,4,0,848,0,16,2,0,0,0,0,0,19507,1,9,64,0,0,0,0,0,0
35.0002,23255,664.425,0,9,0,0,1,2560,0,2558,0,2554,0,320,0,64,0,64,1,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,8,0,1696,0,32,2,0,0,0,0,0,23012,1,9,64,0,0,0,0,0,0
40.0148,27001,674.776,0,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,8,0,1696,0,32,2,0,0,0,0,0,27012,1,9,64,0,0,0,0,0,0
45.4401,31501,693.242,0,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,2176,0,194,0,1088,0,1697,0,8,0,1696,0,32,2,0,0,0,0,0,31512,1,9,64,0,0,0,0,0,0
50.2251,35001,696.883,22,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,1088,2,0,0,0,0,0,35486,1,9,64,0,0,0,0,0,0
55.6647,38001,682.677,85,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,4096,2,0,0,0,0,0,39981,1,9,64,0,0,0,0,0,0
60.5459,40501,668.931,137,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,6592,2,0,0,0,0,0,43889,1,9,64,0,0,0,0,0,0
65.2237,43001,659.285,189,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,9088,2,0,0,0,0,0,47605,1,9,64,0,0,0,0,0,0
70.9453,45501,641.353,241,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,11584,2,0,0,0,0,0,51339,1,9,64,0,0,0,0,0,0
75.5246,47501,628.947,283,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,13584,2,0,0,0,0,0,54318,1,9,64,0,0,0,0,0,0
80.2785,49501,616.616,324,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,15584,2,0,0,0,0,0,57282,1,9,64,0,0,0,0,0,0
85.0346,51501,605.647,366,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,17584,2,0,0,0,0,0,60315,1,9,64,0,0,0,0,0,0
90.8456,54001,594.426,418,9,0,0,1,3840,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,0,20096,2,0,0,0,0,0,64055,1,9,64,0,0,0,0,0,0
95.0701,57001,599.568,431,10,1,1,1,5120,0,3837,0,3831,0,480,0,96,0,96,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,1,20752,2,0,0,0,0,0,67398,1,11,78,0,0,1,0,0,0
100.458,61001,607.229,431,11,1,1,1,5120,0,5116,0,5108,0,640,0,161,0,163,1,5376,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,1,20752,3,0,0,0,0,0,71398,1,12,85,0,0,1,0,0,0
105,64990,618.951,431,11,1,1,1,5120,0,5116,0,5108,0,640,0,161,0,163,2,8958,0,6071,0,3264,0,288,0,1620,0,2546,0,12,0,2543,1,20752,3,0,0,0,0,0,74898,1,12,85,0,0,1,0,0,0
110.383,69001,625.105,431,11,1,1,1,5120,0,5116,0,5108,0,640,0,161,0,163,2,8958,0,10342,0,3264,0,288,0,1620,0,2546,0,12,0,2543,1,20752,3,0,0,0,0,0,79398,1,12,85,0,0,1,0,0,0
115.303,73001,633.121,431,11,1,1,1,5120,0,5116,0,5108,0,640,0,161,0,163,2,8958,0,10342,0,7128,0,435,0,2166,0,3624,0,12,0,2543,1,20752,3,0,0,0,0,0,83398,1,12,85,0,0,1,0,0,0
120.181,77000,640.699,431,11,1,1,1,6400,0,6395,0,5108,0,640,0,161,0,163,2,8958,0,10342,0,7128,0,435,0,2166,0,3624,0,17,0,4298,1,20768,3,0,0,0,0,0,87402,1,12,85,0,0,1,0,0,0
