duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005025,2,397.931,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,50,0,1,0,0,0,0
5.5625,3501,629.393,0,5,1,2,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3500,1,9,50,1749,1,0,0,0,0
10.3922,6501,625.567,0,5,1,2,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6500,1,9,50,3249,1,0,0,0,0
15.2656,9501,622.379,0,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9500,1,9,50,4749,1,0,0,0,0
20.6536,13001,629.479,0,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13000,1,9,50,6499,1,0,0,0,0
25.257,16001,633.528,0,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16000,1,9,50,7999,1,0,0,0,0
30.2964,20501,676.681,0,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20500,1,9,50,10249,1,0,0,0,0
35.0003,24115,688.995,19,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,944,0,1298,1,0,0,0,0,0,24356,1,9,50,11408,1,0,0,0,0
40.2003,27501,684.099,43,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,944,0,4684,1,0,0,0,0,0,28717,1,9,50,11408,1,0,0,0,0
45.2502,31001,685.102,67,5,1,2,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,944,0,8184,1,0,0,0,0,0,33105,1,9,50,11408,1,0,0,0,0
