duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.00307,2,651.042,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,45,0,3,0,0,0,0
5.35124,5001,934.549,0,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,0,0,0,0,0,0,9,45,0,3,0,0,0,0
10.3361,9501,919.204,0,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,1,9500,0,0,0,0,0,0,9,45,0,3,0,0,0,0
15.0002,12634,842.256,19,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,2635,1,13745,0,0,0,0,0,0,9,45,0,3,0,0,0,0
20.5556,16001,778.426,30,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,6002,1,19016,0,0,0,0,0,0,9,45,0,3,0,0,0,0
25.4833,19001,745.624,40,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,9002,1,23577,0,0,0,0,0,0,9,45,0,3,0,0,0,0
30.2014,22001,728.475,49,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,12002,1,28005,0,0,0,0,0,0,9,45,0,3,0,0,0,0
35.3792,24501,692.526,58,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,14502,1,31758,0,0,0,0,0,0,9,45,0,3,0,0,0,0
40.2683,27001,670.528,66,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,17002,1,35499,0,0,0,0,0,0,9,45,0,3,0,0,0,0
45.5493,29501,647.672,74,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1136,0,19502,1,39235,0,0,0,0,0,0,9,45,0,3,0,0,0,0
