duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004875,2,410.088,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,46,0,2,0,0,0,0
5.06625,4001,789.736,0,18,1,4,4,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5542,0,0,0,0,0,0,19,59,1999,5,0,0,0,0
10.0002,8870,886.981,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11896,0,0,0,0,0,0,19,59,4434,5,0,0,0,0
15.4214,13501,875.472,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19396,0,0,0,0,0,0,19,59,6749,5,0,0,0,0
20.0001,18103,905.143,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25971,0,0,0,0,0,0,19,59,9050,5,0,0,0,0
25.0704,23501,937.399,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32608,0,0,0,0,0,0,19,59,11749,5,0,0,0,0
30.3034,28501,940.52,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40108,0,0,0,0,0,0,19,59,14249,5,0,0,0,0
35.3319,33001,934.03,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46859,0,0,0,0,0,0,19,59,16499,5,0,0,0,0
40.1209,38501,959.625,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52933,0,0,0,0,0,0,19,59,19249,5,0,0,0,0
45.0002,43244,960.974,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59683,0,0,0,0,0,0,19,59,21621,5,0,0,0,0
50.2754,48001,954.761,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66144,0,0,0,0,0,0,19,59,23999,5,0,0,0,0
55.2037,53001,960.099,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,6194,0,324,0,0,0,0,0,0,0,0,0,0,2,72443,0,0,0,0,0,0,19,59,26499,5,0,0,0,0
60.0001,57952,965.865,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,6194,0,324,0,1488,0,0,0,0,0,0,0,0,2,79001,0,0,0,0,0,0,19,59,28975,5,0,0,0,0
65.0003,62503,961.58,0,18,1,4,4,1024,0,1023,0,1021,0,128,0,127,0,125,0,7168,0,8327,0,6194,0,324,0,1488,0,2366,0,0,0,0,0,0,2,86182,0,0,0,0,0,0,19,59,31250,5,0,0,0,0
