duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006814,2,293.427,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,50,0,1,0,0,0,0
5.11503,5501,1075.46,0,6,1,1,1,1280,0,1279,0,1277,0,160,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5500,0,0,0,0,0,0,7,58,0,1,0,0,0,0
10.1388,10001,986.408,0,6,1,1,1,1280,0,1279,0,1277,0,160,0,48,0,48,0,2688,0,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10000,0,0,0,0,0,0,7,58,0,1,0,0,0,0
15.2021,15501,1019.66,0,8,1,1,1,1280,0,1279,0,1277,0,160,0,48,0,48,0,2688,0,3120,0,2176,0,128,0,640,0,1008,0,4,0,1120,1,16,2,15507,0,0,0,0,0,0,8,66,0,1,0,0,0,0
20.0001,20507,1025.35,0,8,1,1,1,2560,0,2558,0,2554,0,320,0,80,0,80,0,2688,0,3120,0,2176,0,128,0,640,0,1008,0,4,0,1120,1,16,2,20507,0,0,0,0,0,0,8,66,0,1,0,0,0,0
25.1014,26001,1035.84,0,8,1,1,1,2560,0,2558,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,4,0,1120,1,16,2,26007,0,0,0,0,0,0,8,66,0,1,0,0,0,0
30.0002,28055,935.161,0,8,1,1,1,2560,0,2558,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,31562,0,0,0,0,0,0,8,66,1218,1,0,0,0,0
35.4633,30001,845.973,0,8,1,1,1,2560,0,2558,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,37562,0,0,0,0,0,0,8,66,2516,1,0,0,0,0
40.7673,32001,784.966,0,8,1,1,1,3840,0,2558,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,43562,0,0,0,0,0,0,8,66,3850,1,0,0,0,0
45.1501,33501,741.991,0,8,1,1,1,3840,0,2558,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,48062,0,0,0,0,0,0,8,66,4850,1,0,0,0,0
50.3961,35501,704.439,0,8,1,1,1,3840,0,3837,0,2554,0,320,0,80,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,54062,0,0,0,0,0,0,8,66,6182,1,0,0,0,0
60.3811,39001,645.914,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,80,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,64562,0,0,0,0,0,0,8,66,8516,1,0,0,0,0
65.8066,41001,623.053,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,70562,0,0,0,0,0,0,8,66,9850,1,0,0,0,0
70.0481,42501,606.741,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,75062,0,0,0,0,0,0,8,66,10850,1,0,0,0,0
75.8617,44501,586.607,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,81062,0,0,0,0,0,0,8,66,12182,1,0,0,0,0
80.0002,46325,579.061,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,85562,0,0,0,0,0,0,8,66,13398,1,0,0,0,0
85.2022,48001,563.378,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,91562,0,0,0,0,0,0,8,66,14516,1,0,0,0,0
95.6972,51501,538.166,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,102062,0,0,0,0,0,0,8,66,16850,1,0,0,0,0
100.06,53001,529.694,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,106562,0,0,0,0,0,0,8,66,17850,1,0,0,0,0
105,54690,520.857,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,111062,0,0,0,0,0,0,8,66,18976,1,0,0,0,0
110.379,56501,511.883,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,117062,0,0,0,0,0,0,8,66,20182,1,0,0,0,0
121.335,60000,494.501,0,8,1,1,1,3840,0,3837,0,3831,0,480,0,239,0,237,0,4480,0,5152,0,3264,0,224,0,1184,0,1856,0,8,0,1872,1,32,2,127562,0,0,0,0,0,0,8,66,22516,1,0,0,0,0
