duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002705,2,738.825,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,50,0,1,0,0,0,0
5.00013,47131,9425.94,756,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,24192,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
10.0002,89875,8987.3,2092,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,66944,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
15.0001,129367,8624.41,3326,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,106432,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
20.0002,171931,8596.48,4656,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,148992,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
25.0002,211398,8455.86,5889,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,188464,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
30.0002,253775,8459.11,7213,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,230832,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
35.0001,297674,8504.94,8585,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,274736,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
40.0001,343513,8587.79,10018,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,320576,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
45.0001,388329,8629.51,11418,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,365392,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
50.0001,431011,8620.2,12752,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,408080,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
55.0001,473936,8617,14094,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,451008,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
60.0002,516293,8604.86,15417,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,493360,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
65.0001,557886,8582.84,16717,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,534944,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
70.0002,599887,8569.79,18029,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,576944,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
75.0002,641078,8547.68,19317,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,618144,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
80.0001,683552,8544.39,20644,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,660624,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
85.0001,723733,8514.5,21900,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,700800,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
90.0001,766021,8511.33,23221,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,743088,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
95.0002,808811,8513.78,24558,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,785872,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
100,851118,8511.17,25880,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,828176,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
105,894003,8514.3,27221,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,871072,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
110,933392,8485.37,28452,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,910464,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
115,978787,8511.18,29870,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,955856,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
120,1020585,8504.86,31176,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,997648,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
120.001,1020585,8504.81,31176,4,0,0,1,1536,0,1534,0,1530,0,192,0,80,0,80,0,4480,0,5138,0,3165,0,224,0,1194,0,1897,0,4,0,1872,0,997648,2,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0
