duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003068,2,651.466,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,50,0,1,0,0,0,0
5.02486,11501,2288.82,0,6,1,1,1,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5749,0,0,0,0,0,0,11,68,5749,0,0,0,0,0
10.0001,23337,2333.67,0,6,1,2,1,1536,0,1534,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,880,0,16,2,11493,0,0,0,0,0,0,11,68,11659,0,0,0,0,0
15.0001,35072,2338.11,0,6,1,2,1,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,544,0,848,0,2,0,880,0,16,2,17493,0,0,0,0,0,0,11,68,17527,0,0,0,0,0
20.0001,45356,2267.79,129,10,1,2,1,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,23400,0,0,0,0,0,0,13,81,20966,0,1,0,0,0
25.1195,53001,2109.95,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,3584,0,4035,0,2176,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,28733,0,0,0,0,0,0,13,81,26062,0,1,0,0,0
30.0847,61501,2044.26,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,4035,0,2176,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,34400,0,0,0,0,0,0,13,81,31728,0,1,0,0,0
35.0909,69501,1980.6,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,4035,0,2176,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,39733,0,0,0,0,0,0,13,81,37062,0,1,0,0,0
40.0001,76348,1908.69,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,8163,0,2176,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,44066,0,0,0,0,0,0,13,81,41626,0,1,0,0,0
45.0218,83001,1843.57,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,8163,0,5123,0,194,0,1088,0,1697,0,4,0,1760,1,4176,4,48733,0,0,0,0,0,0,13,81,46062,0,1,0,0,0
50.0493,90001,1798.25,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,8163,0,5123,0,364,0,1894,0,1697,0,4,0,1760,1,4176,4,53400,0,0,0,0,0,0,13,81,50728,0,1,0,0,0
55.1151,97001,1759.97,129,10,1,2,2,2304,0,2301,0,2295,0,288,0,129,0,131,0,7167,0,8163,0,5123,0,364,0,1894,0,3192,0,7,0,3573,1,4192,4,58064,0,0,0,0,0,0,13,81,55384,0,1,0,0,0
