duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002439,2,819.336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
5.0001,91730,18345.6,5140,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,82240,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
10.0001,182306,18230.4,10801,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,172816,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
15.0001,263515,17567.6,15876,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,254016,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
20.0001,354185,17709.2,21543,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,344688,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
25.0001,446590,17863.5,27318,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,437088,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
30.0001,537929,17930.9,33027,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,528432,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
35.0001,629076,17973.5,38724,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,619584,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
40.0001,719468,17986.7,44373,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,709968,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
45.0001,803683,17859.6,49637,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,794192,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
50.0001,893438,17868.7,55246,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,883936,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
55.0001,981185,17839.7,60731,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,971696,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
60.0001,1071593,17859.9,66381,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1062096,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
65.0001,1163291,17896.8,72112,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1153792,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
70.0001,1259602,17994.3,78132,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1250112,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
75.0001,1350850,18011.3,83835,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1341360,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
80.0001,1441259,18015.7,89485,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1431760,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
85.0001,1532902,18034.1,95213,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1523408,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
90.0001,1622848,18031.6,100835,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1613360,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
95.0001,1718136,18085.6,106790,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1708640,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
100,1813804,18138,112769,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1804304,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
105,1904158,18134.8,118416,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1894656,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
110,1995598,18141.8,124131,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1986096,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
115,2085367,18133.6,129742,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2075872,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
120,2176277,18135.6,135424,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2166784,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
120.002,2176277,18135.3,135424,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2166784,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
