duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003813,2,524.384,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0
5.00017,43424,8684.5,30,1,1,1,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,0,32752,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0
10.3957,49501,4761.7,30,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,1,33093,2,0,0,0,4737,4737,0,0,5,31,0,1,0,1,0,0
15.3548,55001,3582,30,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,848,0,3,0,1008,1,33093,2,0,0,0,8680,8680,0,0,5,31,0,1,0,1,0,0
20.0322,66001,3294.75,74,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,42181,2,0,0,0,11532,11532,0,0,5,31,0,1,0,0,0,24
25.0001,83050,3321.99,141,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,59230,2,0,0,0,14304,14304,0,0,5,31,0,1,0,0,0,56
30.0001,99016,3300.52,203,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,75196,2,0,0,0,16881,16881,0,0,5,31,0,1,0,0,0,91
35.0002,111933,3198.07,253,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,88101,2,0,0,0,18851,18851,0,0,5,31,0,1,0,0,0,116
40.0001,128471,3211.77,318,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,104651,2,0,0,0,21566,21566,0,0,5,31,0,1,0,0,0,176
45.0127,144501,3210.23,381,3,1,2,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,4476,0,3706,0,1765,0,308,0,1570,0,2808,0,7,0,2623,1,120681,2,0,0,0,24194,24194,0,0,5,31,0,1,0,0,0,230
