duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004039,2,495.05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0
5.00209,27991,5595.86,14,11,1,3,0,1024,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,578,0,0,0,578,0,0,12,60,11293,5,0,1,0,0
10.0142,29501,2945.93,14,11,1,3,0,2048,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,2386,0,0,0,2386,0,0,12,60,12048,5,0,1,0,0
15.5083,30501,1966.75,14,11,1,3,0,2048,0,1023,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,3386,0,0,0,3386,0,0,12,60,12548,5,0,1,0,0
20.0677,31501,1569.73,14,11,1,3,0,2048,0,2046,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,4231,0,0,0,4231,0,0,12,60,13048,5,0,1,0,0
25.0004,32408,1296.3,14,11,1,3,0,2048,0,2046,0,1021,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,4690,0,0,0,4690,0,0,12,60,13502,5,0,1,0,0
30.0036,33114,1103.67,14,11,1,3,0,2048,0,2046,0,2042,0,128,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,5666,0,0,0,5666,0,0,12,60,13855,5,0,1,0,0
35.0001,33923,969.225,14,11,1,3,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,6110,0,0,0,6110,0,0,12,60,14259,5,0,1,0,0
40.004,34635,865.788,14,11,1,3,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,7110,0,0,0,7110,0,0,12,60,14615,5,0,1,0,0
45.0044,35442,787.523,14,11,1,3,0,2048,0,2046,0,2042,0,256,0,81,0,83,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,3,0,1008,3,5402,2,7610,0,0,0,7610,0,0,12,60,15019,5,0,1,0,0
