duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002506,2,797.766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
5.00009,92424,18484.5,5183,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,82928,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
10.0001,198009,19800.7,11782,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,188512,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
15.0001,305705,20380.2,18513,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,296208,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
20.0001,414170,20708.4,25292,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,404672,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
25.0001,516931,20677.1,31715,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,507440,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
30.0001,622707,20756.8,38326,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,613216,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
35.0001,723672,20676.3,44636,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,714176,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
40.0001,825979,20649.4,51030,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,816480,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
45.0001,930396,20675.4,57556,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,920896,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
50.0001,1041560,20831.2,64504,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1032064,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
55.0001,1158174,21057.7,71792,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1148672,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
60.0002,1271544,21192.3,78878,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1262048,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
65.0001,1367887,21044.4,84899,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1358384,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
70.0001,1475542,21079.1,91628,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1466048,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
75.0001,1579618,21061.5,98133,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1570128,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
80.0001,1685867,21073.3,104773,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1676368,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
85.0001,1793933,21105.1,111527,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1784432,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
90.0001,1900677,21118.6,118199,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1891184,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
95.0001,2005092,21106.2,124725,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,1995600,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
100,2111105,21111,131351,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2101616,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
105,2205965,21009.2,137279,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2196464,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
110,2311891,21017.2,143900,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2302400,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
115,2417265,21019.7,150486,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2407776,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
120,2523064,21025.5,157098,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2513568,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
120,2523064,21025.5,157098,1,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,624,0,2513568,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
