duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.006397,2,312.598,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,42,0,4,0,0,0,0
5.00012,4554,910.778,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,3414,6,0,0,0,2250
10.0001,9711,971.086,0,17,1,1,1,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,7281,6,0,0,0,4750
15.0001,15170,1011.32,0,17,1,1,1,1536,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,11376,6,0,0,0,7500
20.0076,20001,999.669,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,14997,6,0,0,0,10000
25.0003,25855,1034.19,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,19389,6,0,0,0,12750
30.0002,31353,1045.09,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,23511,6,0,0,0,15500
35.0003,36739,1049.68,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,27552,6,0,0,0,18250
40.0002,42271,1056.77,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,31701,6,0,0,0,21000
45.0575,47501,1054.23,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,35622,6,0,0,0,23750
50.1101,51501,1027.76,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,62,38622,6,0,0,0,25750
55.2039,56001,1014.44,0,17,1,1,1,1536,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,41985,6,0,0,10,28008
60.0003,61341,1022.35,0,17,1,1,1,3072,0,1535,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,45990,6,0,0,10,30508
65.0001,66951,1030.01,0,17,1,1,1,3072,0,3070,0,1533,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,50199,6,0,0,10,33258
70.1678,71501,1019,0,17,1,1,1,3072,0,3070,0,3066,0,192,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,53610,6,0,0,10,35758
75.2781,77001,1022.89,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,57735,6,0,0,10,38508
80.2852,82501,1027.6,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,61860,6,0,0,10,41258
85.0001,87905,1034.17,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,65913,6,0,0,10,43758
90.1201,93001,1031.97,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,69735,6,0,0,10,46508
95.0543,98501,1036.26,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,2032,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,73860,6,0,0,10,49258
100,104348,1043.48,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,6279,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,78246,6,0,0,10,52008
105.105,110001,1046.58,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,6279,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,82485,6,0,0,10,55008
110.259,115501,1047.54,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,6279,0,1088,0,96,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,86610,6,0,0,10,57758
115.303,121001,1049.42,0,17,1,1,1,3072,0,3070,0,3066,0,384,0,97,0,99,0,5376,0,6279,0,4556,0,258,0,544,0,848,0,5,0,1872,0,16,2,0,0,0,0,0,0,0,25,62,90735,6,0,0,10,60508
