duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.005272,2,379.291,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,0,4,0,0,0,0
5.00146,3339,667.605,0,7,1,1,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,1668,4,0,0,2,0
10.0005,4677,467.677,0,7,1,1,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,2337,4,0,0,8,0
15.0062,5526,368.248,0,7,1,1,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,2762,4,0,0,8,0
20.0025,6402,320.059,0,7,1,1,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,3200,4,0,0,8,0
25.0048,7159,286.306,0,7,1,1,0,1280,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,3578,4,0,0,18,0
30.0073,7774,259.07,0,7,1,1,0,1280,0,1279,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,3886,4,0,0,18,0
35.0076,8367,239.005,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,4182,4,0,0,20,0
40.0066,8945,223.588,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,4471,4,0,0,20,0
45.0056,9499,211.063,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,4748,4,0,0,20,0
50.0082,10011,200.187,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,5004,4,0,0,20,0
55.0011,10572,192.214,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,5285,4,0,0,20,0
60.0011,11142,185.697,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,5570,4,0,0,20,0
65.0036,11689,179.821,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,5843,4,0,0,20,0
70.0052,12220,174.558,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,6109,4,0,0,20,0
75.0021,12785,170.462,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,6391,4,0,0,20,0
80.0045,13362,167.016,0,7,1,1,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,32,6680,4,0,0,20,0
