duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.009253,2,216.123,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
5.00021,10722,2144.31,0,8,1,4,3,2048,0,2047,0,2045,0,256,0,115,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
10.0004,22289,2228.81,0,8,1,4,3,2048,0,2047,0,2045,0,256,0,115,0,121,0,6272,0,7662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
15.0005,34501,2299.99,0,8,1,4,3,2048,0,2047,0,2045,0,256,0,115,0,121,0,6272,0,7662,0,7041,0,256,0,1052,0,1779,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
20.0004,46645,2332.2,0,8,1,4,3,2048,0,2047,0,2045,0,256,0,115,0,121,0,6272,0,7662,0,7041,0,256,0,1052,0,1779,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
25.0006,54869,2194.71,0,18,1,6,3,2048,0,2047,0,2045,0,256,0,115,0,121,0,6272,0,7662,0,7041,0,256,0,1052,0,1779,0,7,1,23647,1,16,2,0,0,0,0,122,0,0,25,16,0,4,0,0,0,0
30.0001,64975,2165.83,0,18,1,6,3,4096,0,4094,0,4090,0,512,0,180,0,188,0,9856,0,7662,0,7041,0,256,0,1052,0,1779,0,7,1,23647,1,16,2,0,0,0,0,122,0,0,25,16,0,4,0,0,0,0
35.0004,75136,2146.72,0,18,1,6,3,4096,0,4094,0,4090,0,512,0,180,0,188,0,9856,0,11938,0,10509,0,416,0,1794,0,2977,0,7,1,23647,1,16,2,0,0,0,0,122,0,0,25,16,0,4,0,0,0,0
40.0004,85503,2137.56,0,18,1,6,3,4096,0,4094,0,4090,0,512,0,180,0,188,0,9856,0,11938,0,10509,0,416,0,1794,0,2977,0,7,1,23647,1,16,2,0,0,0,0,122,0,0,25,16,0,4,0,0,0,0
45.0004,95417,2120.36,0,18,1,6,3,6144,0,6141,0,6135,0,768,0,229,0,239,0,9856,0,11938,0,10509,0,416,0,1794,0,2977,0,14,1,36945,1,32,2,0,0,0,0,129,0,0,25,16,0,4,0,0,0,0
50.0007,105264,2105.25,0,18,1,6,3,6144,0,6141,0,6135,0,768,0,229,0,239,0,12544,0,15126,0,12889,0,544,0,2440,0,4015,0,14,1,36945,1,32,2,0,0,0,0,129,0,0,25,16,0,4,0,0,0,0
55.0003,116181,2112.37,0,18,1,6,3,6144,0,6141,0,6135,0,768,0,229,0,239,0,12544,0,15126,0,12889,0,544,0,2440,0,4015,0,21,1,46990,1,48,2,0,0,0,0,141,0,0,25,16,0,4,0,0,0,0
60.0003,124901,2081.67,0,18,1,6,3,8192,0,8188,0,8180,0,1024,0,327,0,341,0,12544,0,15126,0,12889,0,544,0,2440,0,4015,0,21,1,46990,1,48,2,0,0,0,0,681,0,0,25,16,0,4,0,0,0,0
65.0001,130307,2004.72,0,18,1,6,3,8192,0,8188,0,8180,0,1024,0,327,0,341,0,17920,0,15126,0,12889,0,544,0,2440,0,4015,0,21,1,46990,1,48,2,0,0,0,0,1801,0,0,25,16,0,4,0,0,0,0
