duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002989,2,668.673,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,41,0,3,0,0,0,0
5.00014,32479,6495.61,11,5,2,4,0,2304,1,2301,0,2295,0,288,0,147,0,153,0,5372,0,5642,0,3410,0,288,0,1527,0,2882,0,5,0,3698,1,1648,3,0,0,0,0,0,0,0,7,58,0,1,0,1,0,0
10.0009,56501,5649.58,36,5,2,5,0,2304,1,2301,0,2295,0,288,0,147,0,153,0,8056,0,8098,0,4640,0,447,0,2387,0,4627,0,8,0,5553,1,15184,3,0,0,0,0,0,0,0,7,58,0,1,0,0,0,0
15.0001,76311,5087.35,63,5,3,6,0,2304,1,2301,0,2295,0,288,0,147,0,153,0,8056,0,8098,0,4640,0,447,0,2387,0,4627,0,8,0,5553,1,35006,3,0,0,0,0,0,0,0,7,58,0,1,0,0,0,0
20.2386,89501,4422.28,71,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,8098,0,4640,0,447,0,2387,0,4627,0,8,0,5553,2,42428,4,5376,0,0,0,0,0,0,8,66,0,1,0,1,0,0
25.0002,100030,4001.16,83,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,9772,0,5286,0,651,0,3462,0,6578,0,11,0,7415,2,46137,4,11096,0,0,0,0,0,0,8,66,0,1,0,0,0,0
30.0112,119001,3965.22,100,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,9772,0,5286,0,651,0,3462,0,6578,0,11,0,7415,2,65108,4,11500,0,0,0,0,0,0,8,66,0,1,0,0,0,0
35.0002,138942,3969.75,117,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,9772,0,5286,0,651,0,3462,0,6578,0,11,0,7415,2,85049,4,11831,0,0,0,0,0,0,8,66,0,1,0,0,0,0
40.0003,157746,3943.62,131,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,9772,0,5286,0,651,0,3462,0,6578,0,11,0,7415,2,103853,4,12060,0,0,0,0,0,0,8,66,0,1,0,0,0,0
45.0001,177663,3948.05,148,6,3,6,0,3072,1,3068,0,3060,0,384,0,196,0,204,0,10733,0,9772,0,5286,0,651,0,3462,0,6578,0,11,0,7415,2,123770,4,12476,0,0,0,0,0,0,8,66,0,1,0,0,0,0
