duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.023649,2,84.563,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,0,2,0,0,0,0
5.00827,429,85.6583,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,213,2,0,0,0,0
10.0021,692,69.1854,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,345,2,0,0,0,0
15.3929,1001,65.0299,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,499,2,0,0,0,0
20.0022,1396,69.7924,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,697,2,0,0,0,0
25.0062,1678,67.1033,0,7,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,838,2,0,0,0,0
30.8495,2001,64.8634,0,7,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,999,2,0,0,0,0
35.0091,2372,67.7537,0,7,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,1185,2,0,0,0,0
40.0086,2646,66.1357,0,7,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,1322,2,0,0,0,0
50.0078,3342,66.8296,0,7,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,1670,2,0,0,0,0
55.0021,3601,65.4702,0,7,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,1799,2,0,0,0,0
65.0006,4287,65.9532,0,7,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2142,2,0,0,0,0
70.0002,4553,65.0426,0,7,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2275,2,0,0,0,0
75.0066,4985,66.4608,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2491,2,0,0,0,0
80.0012,5264,65.799,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2631,2,0,0,0,0
85.0015,5531,65.0695,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2764,2,0,0,0,0
90.0053,5954,66.1517,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,2976,2,0,0,0,0
95.0055,6235,65.6278,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3116,2,0,0,0,0
100.004,6517,65.1677,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3257,2,0,0,0,0
105.002,6946,66.1511,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3472,2,0,0,0,0
110.012,7219,65.6202,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3608,2,0,0,0,0
115.008,7502,65.2305,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3750,2,0,0,0,0
120.005,7925,66.0389,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3961,2,0,0,0,0
121.64,7925,65.1513,0,7,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,34,3961,2,0,0,0,0
