duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.025187,2,79.3997,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
5.00899,492,98.2233,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
10.0032,810,80.9741,0,6,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
15.0047,1078,71.844,0,6,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
25.0011,1891,75.6367,0,6,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
30.0057,2199,73.286,0,6,0,0,0,768,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
35.0075,2508,71.6418,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
40.0062,2999,74.9634,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
45.0092,3326,73.896,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
50.0023,3648,72.9567,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
60.0035,4405,73.4124,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
65.001,4702,72.3373,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
70.1212,5001,71.3193,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
75.0042,5462,72.8226,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
80.0152,5743,71.7738,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
85.0064,6031,70.9476,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
95.0137,6827,71.8528,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
100.009,7100,70.9936,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
110.006,7910,71.9053,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
115,8193,71.2432,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
120.278,8500,70.6694,0,6,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,35,0,2,0,0,0,0
