duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.002561,2,780.336,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
5.00012,50054,10010.5,2539,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,40624,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
10.0001,100133,10013.2,5669,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,90704,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
15.0002,148171,9877.94,8671,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,138736,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
20.0001,196827,9841.3,11712,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,187392,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
25.0002,246027,9841.01,14787,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,236592,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
30.0002,292502,9750,17692,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,283072,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
35.0002,338834,9680.93,20588,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,329408,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
40.0001,387673,9691.79,23640,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,378240,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
45.0001,436140,9691.97,26669,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,426704,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
50.0002,484733,9694.61,29706,2,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,560,0,475296,1,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0
