duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.003084,2,648.088,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,50,0,2,0,0,0,0
5.0002,18849,3769.65,0,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,50,14133,2,0,0,0,0
10.0002,37324,3732.33,0,8,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,50,27990,2,0,0,0,0
15.0001,46381,3092.04,0,11,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,35556,1,0,0,0,0
20.0007,52696,2634.7,0,11,0,0,0,768,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,41466,1,0,0,0,0
25.0001,58962,2358.47,0,11,0,0,0,1536,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,47346,1,0,0,0,0
30.0007,65261,2175.32,0,11,0,0,0,1536,0,767,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,53256,1,0,0,0,0
35.0002,71344,2038.39,0,11,0,0,0,1536,0,1534,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,58956,1,0,0,0,0
40.0012,76687,1917.12,0,11,0,0,0,1536,0,1534,0,765,0,96,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,63966,1,0,0,0,0
45.0007,82489,1833.06,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,69396,1,0,0,0,0
50.001,88584,1771.65,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,75111,1,0,0,0,0
55.0109,94501,1717.86,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,80661,1,0,0,0,0
60.0008,100844,1680.71,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,86616,1,0,0,0,0
65.0004,107017,1646.4,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,92391,1,0,0,0,0
70.0001,113273,1618.18,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,98256,1,0,0,0,0
75.0001,119604,1594.72,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,104196,1,0,0,0,0
80.0008,126426,1580.31,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,110601,1,0,0,0,0
85.0005,132596,1559.94,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,116376,1,0,0,0,0
90.0009,138647,1540.51,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,2032,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,122046,1,0,0,0,0
95.0214,144501,1520.72,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,127536,1,0,0,0,0
100,151003,1510.03,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,133641,1,0,0,0,0
105,157197,1497.11,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,1088,0,96,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,139446,1,0,0,0,0
110.001,163466,1486.04,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,2143,0,195,0,544,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,145326,1,0,0,0,0
115.001,169772,1476.27,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,2143,0,195,0,1092,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,151236,1,0,0,0,0
120.001,175938,1466.14,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,2143,0,195,0,1092,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,157011,1,0,0,0,0
120.042,175938,1465.64,0,11,0,0,0,1536,0,1534,0,1530,0,192,0,64,0,64,0,3584,0,4025,0,2143,0,195,0,1092,0,848,0,2,0,1680,1,16,2,0,0,0,0,0,0,0,19,55,157011,1,0,0,0,0
