duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004282,2,466.853,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,26,0,3,0,0,0,0
5.00213,25001,4998.07,0,7,1,2,2,1280,0,1279,0,1277,0,160,0,48,0,48,0,2688,0,3120,0,2176,0,128,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,46,12499,4,0,0,0,0
10.0002,49022,4902.09,0,7,1,2,2,2560,0,2558,0,2554,0,320,0,96,0,96,0,5376,0,3120,0,2176,0,128,0,640,0,1008,0,4,0,2272,0,16,2,0,0,0,0,0,0,0,12,46,24502,4,0,0,0,0
15.0001,77129,5141.89,0,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,6211,0,4352,0,258,0,1280,0,2017,0,8,0,4544,0,32,2,0,0,0,0,0,0,0,12,46,38547,4,0,0,0,0
20.0003,100030,5001.43,15,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,11601,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
25.0001,119483,4779.3,23,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,31054,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
30.0001,138358,4611.92,30,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,49929,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
35.0002,156061,4458.86,37,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,67632,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
40.0003,175314,4382.82,44,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,86885,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
45.0006,194974,4332.7,51,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,106545,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
50.0001,214374,4287.47,59,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,125936,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
55.0001,234219,4258.52,67,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,145790,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
60.0022,253278,4221.14,73,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,164849,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
65.0015,272830,4197.29,82,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,184401,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
70.0003,293552,4193.58,90,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,205123,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
75.0001,312899,4171.98,97,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,224470,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
80.0002,330854,4135.67,105,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,242425,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
85.0012,350382,4122.08,113,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,261953,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
90.0109,369001,4099.51,119,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,280572,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
95.0002,388163,4085.92,127,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,299734,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
100,407798,4077.97,134,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,319369,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
105,426472,4061.63,142,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,338043,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
110.002,446030,4054.75,150,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,357601,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
115,465501,4047.82,157,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,377072,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
120,483133,4026.1,163,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,394704,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
120.004,483133,4025.98,163,7,1,2,2,3840,0,3837,0,3831,0,480,0,128,0,128,0,7168,0,8243,0,5440,0,354,0,1824,0,2865,0,12,0,6064,0,394704,2,0,0,0,0,0,0,0,12,46,44214,4,0,0,0,0
