duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.004315,2,463.285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
5.00014,52647,10529.1,381,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,41718,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
10.0001,102430,10242.9,826,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,91501,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
15.0002,151118,10074.4,1261,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,140189,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
20.0001,199801,9990,1695,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,188872,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
25.0002,247554,9902.06,2122,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,236625,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
30.0001,283384,9446.1,2442,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,272455,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
35.0001,332590,9502.55,2881,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,321661,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
40.0001,382486,9562.11,3326,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,371557,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
45.0001,431687,9593.02,3766,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,420758,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
50.0001,480470,9609.38,4201,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,469541,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
55.0002,530727,9649.55,4650,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,519798,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
60.0001,579394,9656.55,5085,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,568465,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
65.0007,629501,9684.53,5532,1,0,0,0,1280,0,1279,0,1277,0,160,0,32,0,32,0,1792,0,2032,0,1088,0,96,0,544,0,848,0,4,0,464,0,618572,1,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0
