duration, execution, speed, cycle, tuple, exception type, exception, flip1-tuple, flip1-exec, flip2-tuples, flip2-exec, flip4-tuple, flip4-exec, flip8-tuple, flip8-exec, flip16-tuple, flip16-exec, flip32-tuple, flip32-exec, arith8-tuple, arith8-exec, arith16-tuple, arith16-exec, arith32-tuple, arith32-exec, int8-tuple, int8-exec, int16-tuple, int16-exec, int32-tuple, int32-exec, ext_UO-tuple, ext_UO-exec, ext_AO-tuple, ext_AO-exec, havoc-tuple, havoc-exec, max depth, gasless, disorder, reentrancy, timestamp, number, delegate, freezing, branches, coverage, callorder, predicates, random-havoc, heuristic-havoc, overflow, underflow
0.011858,2,168.634,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,33,0,21,0,0,0,0
5.27513,1501,284.543,0,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1500,0,0,0,35,35,749,19,0,0,0,0
10.761,3001,278.876,0,40,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3000,0,0,0,44,44,1499,23,0,0,0,0
20.0007,5746,287.29,0,55,1,6,11,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5500,0,0,0,55,55,2872,24,0,0,0,0
25.1515,7001,278.353,0,55,1,6,11,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7000,0,0,0,55,55,3499,24,0,0,0,0
30.533,8001,262.044,0,55,1,6,11,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8000,0,0,0,55,55,3999,24,0,0,0,0
35.8501,9501,265.02,0,55,1,6,11,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9500,0,0,0,55,55,4749,24,0,0,0,0
40.8816,11001,269.094,0,55,1,6,11,2560,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11000,0,0,0,55,55,5499,24,0,0,0,0
45.8639,12501,272.567,0,56,1,6,11,2560,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12500,0,0,0,56,56,6249,23,0,0,0,0
55.0006,15392,279.852,0,56,1,6,11,2560,0,2559,1,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15000,0,0,0,56,56,7695,23,0,0,0,0
60.0005,16577,276.281,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16500,0,0,0,56,56,8287,23,0,0,0,0
65.2094,18001,276.049,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18000,0,0,0,56,56,8999,23,0,0,0,0
70.4431,19501,276.834,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19500,0,0,0,56,56,9749,23,0,0,0,0
80.0005,22499,281.236,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22000,0,0,0,56,56,11248,23,0,0,0,0
85.0006,23837,280.433,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23500,0,0,0,56,56,11917,23,0,0,0,0
90.0007,25445,282.72,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25000,0,0,0,56,56,12721,23,0,0,0,0
95.0007,26794,282.04,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26500,0,0,0,56,56,13396,23,0,0,0,0
100.112,28001,279.696,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28000,0,0,0,56,56,13999,23,0,0,0,0
105.116,29501,280.652,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29500,0,0,0,56,56,14749,23,0,0,0,0
110,31284,284.399,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31000,0,0,0,56,56,15641,23,0,0,0,0
115.528,32501,281.326,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32500,0,0,0,56,56,16249,23,0,0,0,0
121.048,34000,280.881,0,56,1,6,11,2560,0,2559,1,2557,0,320,0,99,0,105,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34000,0,0,0,56,56,16999,23,0,0,0,0
